row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.244.612.256.360,8.231.582.976.860,84.914.113.852,678.498.425.870,61.453.999.269,11.301.061.772.211,2244612256360.0,8231582976860.0,84914113852.0,678498425870.0,61453999269.0,11301061772211.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,64.866.574.943,1.541.225.290.335,9.197.889.090,36.682.138.870,17.932.611.411,1.669.904.504.649,64866574943.0,1541225290335.0,9197889090.0,36682138870.0,17932611411.0,1669904504649.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,850.518.982.217,71.272.537.709,-,910.405.597,1.770.807.273,924.472.732.796,850518982217.0,71272537709.0,,910405597.0,1770807273.0,924472732796.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(7.382.675.574),(5.497.728.090),(10.792.409.657),(105.215.000),(23.778.028.321),,-7382675574.0,-5497728090.0,-10792409657.0,-105215000.0,-23778028321.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(603.512.703),2.837.743.673,(70.525.000),2.476.872.453,-,4.640.578.423,-603512703.0,2837743673.0,-70525000.0,2476872453.0,,4640578423.0
Tăng/(giảm) khác (*),NGUYÊN GIÁ > Tăng/(giảm) khác (*),Tăng/(giảm) khác (*),605.757.208,(893.190.165.212),471.208.564,(38.684.087.914),66.064.871,(930.731.222.483),605757208.0,-893190165212.0,471208564.0,-38684087914.0,66064871.0,-930731222483.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.160.000.058.025,8.946.345.707.791,89.014.958.416,669.091.345.219,81.118.267.824,12.945.570.337.275,3160000058025.0,8946345707791.0,89014958416.0,669091345219.0,81118267824.0,12945570337275.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,437.760.265.861,3.966.975.616.646,40.140.775.079,554.001.495.353,6.921.773.062,5.005.799.926.001,437760265861.0,3966975616646.0,40140775079.0,554001495353.0,6921773062.0,5005799926001.0
