row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,"Giấy phép, quyền khai thác, quyền phát hành và bản quyền",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,"numeric__Giấy phép, quyền khai thác, quyền phát hành và bản quyền",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,179.681.242.218,381.977.715.513,1.028.502.051.437,383.653.350.519,1.973.814.359.687,179681242218.0,381977715513.0,1028502051437.0,383653350519.0,1973814359687.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,2.553.990.000,53.610.330.784,5.747.464.418,441.240.000,62.353.025.202,2553990000.0,53610330784.0,5747464418.0,441240000.0,62353025202.0
Xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Xây dựng cơ bản hoàn thành,Xây dựng cơ bản hoàn thành,-,2.271.434.231,21.562.953.886,-,23.834.388.117,,2271434231.0,21562953886.0,,23834388117.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(8.471.332.468),(95.143.140),(777.316.419),(9.343.792.027),,-8471332468.0,-95143140.0,-777316419.0,-9343792027.0
Tăng/(giảm) khác,NGUYÊN GIÁ > Tăng/(giảm) khác,Tăng/(giảm) khác,2.030.672.881,(4.102.467.709),65.621.034.881,(77.239.589.537),(13.690.349.484),2030672881.0,-4102467709.0,65621034881.0,-77239589537.0,-13690349484.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,184.265.905.099,425.285.680.351,1.121.338.361.482,306.077.684.563,2.036.967.631.495,184265905099.0,425285680351.0,1121338361482.0,306077684563.0,2036967631495.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,9.061.671.828,314.715.063.362,444.364.717.153,11.611.885.282,779.753.337.625,9061671828.0,314715063362.0,444364717153.0,11611885282.0,779753337625.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.475.258.163,46.383.983.912,122.433.657.167,15.359.829.340,185.652.728.582,1475258163.0,46383983912.0,122433657167.0,15359829340.0,185652728582.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(8.407.354.504),(95.143.140),(777.316.419),(9.279.814.063),,-8407354504.0,-95143140.0,-777316419.0,-9279814063.0
Tăng/(giảm) khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng/(giảm) khác,Tăng/(giảm) khác,950.770.465,(1.925.075.007),(26.192.787.633),12.639.467.294,(14.527.624.881),950770465.0,-1925075007.0,-26192787633.0,12639467294.0,-14527624881.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,11.487.700.456,350.766.617.763,540.510.443.547,38.833.865.497,941.598.627.263,11487700456.0,350766617763.0,540510443547.0,38833865497.0,941598627263.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,170.619.570.390,67.262.652.151,584.137.334.284,372.041.465.237,1.194.061.022.062,170619570390.0,67262652151.0,584137334284.0,372041465237.0,1194061022062.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,172.778.204.643,74.519.062.588,580.827.917.935,267.243.819.066,1.095.369.004.232,172778204643.0,74519062588.0,580827917935.0,267243819066.0,1095369004232.0
