row_label_raw,row_label_full,col_0,Dự phòng bảo hành sản phẩm ngắn hạn,Dự phòng ngắn hạn khác,Tổng cộng,numeric__Dự phòng bảo hành sản phẩm ngắn hạn,numeric__Dự phòng ngắn hạn khác,numeric__Tổng cộng
,,,VND,VND,VND,,,
Số đầu năm,Số đầu năm,Số đầu năm,8.543.239.001,166.023.573.251,174.566.812.252,8543239001.0,166023573251.0,174566812252.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,5.674.846.282,189.614.080.000,195.288.926.282,5674846282.0,189614080000.0,195288926282.0
Các khoản dự phòng đã sử dụng/hoàn nhập,Các khoản dự phòng đã sử dụng/hoàn nhập,Các khoản dự phòng đã sử dụng/hoàn nhập,(7.065.995.641),(151.192.947.718),(158.258.943.359),-7065995641.0,-151192947718.0,-158258943359.0
Số cuối năm,Số cuối năm,Số cuối năm,7.152.089.642,204.444.705.533,211.596.795.175,7152089642.0,204444705533.0,211596795175.0
