row_label_raw,row_label_full,STT,Chỉ tiêu,Mục đích,Tăng/(giám) > Năm nay,Tăng/(giám) > Năm trước,Sử dụng đúng mục đích > Năm nay,Sử dụng đúng mục đích > Năm nay_1,numeric__Chỉ tiêu,numeric__Mục đích,numeric__Tăng/(giám) > Năm nay,numeric__Tăng/(giám) > Năm trước,numeric__Sử dụng đúng mục đích > Năm nay,numeric__Sử dụng đúng mục đích > Năm nay_1
1,1,1,Tăng vốn từ phát hành cố phiếu,Bổ sung vốn lưu động,1.056.287.980.000,647.219.160.000,1.056.287.980.000,647.219.160.000,,,1056287980000.0,647219160000.0,1056287980000.0,647219160000.0
Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,1.056.287.980.000,647.219.160.000,1.056.287.980.000,647.219.160.000,,,1056287980000.0,647219160000.0,1056287980000.0,647219160000.0
