row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Năm nay,VNDNăm trước,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__VNDNăm trước
Công ty Cổ phầnThế Giới Di Động,Công ty Cổ phầnThế Giới Di Động,Công ty Cổ phầnThế Giới Di Động,Công ty con,Cổ tứcCho vayThu nhập lãi vay,1.799.002.733.1712.870.850.000.00061.377.912.451,362.608.167.000375.300.000.00014.513.780.549,,,1.799002733171287e+36,3.626081670003753e+34
Công ty Cổ phầnThương mạiBách Hóa Xanh,Công ty Cổ phầnThương mạiBách Hóa Xanh,Công ty Cổ phầnThương mạiBách Hóa Xanh,Công ty con,Góp vốnChuyển vay thànhvốn gópCho vayThu nhập lãi vay,389.760.000.000110.000.000.00050.000.000.000907.500.000,------60.000.000.000142.500.000,,,3.8976000000011e+43,
Công ty TNHHMTV Công nghệThông tin ThếGiới Di Động,Công ty TNHHMTV Công nghệThông tin ThếGiới Di Động,Công ty TNHHMTV Công nghệThông tin ThếGiới Di Động,Công ty con,Góp vốnCho vay,138.000.000.000100.950.000.000,------,,,1.3800000000010094e+23,
Ông Robert Willet,Ông Robert Willet,Ông Robert Willet,Thành viênHội đồngQuản trị,Chi phí tư vấn,2.340.816.349,1.918.691.053,,,2340816349.0,1918691053.0
