row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phầnThế Giới Di Động,Phải thu ngắn hạn khác > Công ty Cổ phầnThế Giới Di Động,Công ty Cổ phầnThế Giới Di Động,Công ty con,Lãi dự thuChi phí trả hộ,5.541.346.3862.770.414.000,3.397.169.93826.950.000,,,5.541346386277042e+19,3.3971699382695e+17
Công ty Cổ phần Thươngmại Bách Hóa Xanh,Phải thu ngắn hạn khác > Công ty Cổ phần Thươngmại Bách Hóa Xanh,Công ty Cổ phần Thươngmại Bách Hóa Xanh,Công ty con,Chi phí trả hộLãi dự thu,63.695.000-,-142.500.000,,,,-142500000.0
,,,,,8.375.455.386,3.566.619.938,,,8375455386.0,3566619938.0
