row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,(Lỗ lũy kế) lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__(Lỗ lũy kế) lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,1.468.889.740.000,628.592.500,(2.454.294.500),(61.930.210.442),1.405.133.827.558,1468889740000.0,628592500.0,-2454294500.0,-61930210442.0,1405133827558.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,371.327.548.903,371.327.548.903,,,,371327548903.0,371327548903.0
Cổ tức công bố,Năm trước: > Cổ tức công bố,Cổ tức công bố,-,-,-,(219.929.263.800),(219.929.263.800),,,,-219929263800.0,-219929263800.0
Phát hành cổ phiếu ESOP,Năm trước: > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,70.619.530.000,-,2.690.430.000,(73.309.960.000),-,70619530000.0,,2690430000.0,-73309960000.0,
Mua lại cổ phiếu,Năm trước: > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(315.300.000),-,(315.300.000),,,-315300000.0,,-315300000.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,1.539.509.270.000,628.592.500,(79.164.500),16.158.114.661,1.556.216.812.661,1539509270000.0,628592500.0,-79164500.0,16158114661.0,1556216812661.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.539.509.270.000,628.592.500,(79.164.500),16.158.114.661,1.556.216.812.661,1539509270000.0,628592500.0,-79164500.0,16158114661.0,1556216812661.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.824.746.062.526,1.824.746.062.526,,,,1824746062526.0,1824746062526.0
Cổ tức công bố (*),Năm nay: > Cổ tức công bố (*),Cổ tức công bố (*),-,-,-,(230.721.660.300),(230.721.660.300),,,,-230721660300.0,-230721660300.0
Cổ phiếu thường (**),Năm nay: > Cổ phiếu thường (**),Cổ phiếu thường (**),1.538.148.620.000,-,-,(1.538.148.620.000),-,1538148620000.0,,,-1538148620000.0,
Phát hành cổ phiếu ESOP (***),Năm nay: > Phát hành cổ phiếu ESOP (***),Phát hành cổ phiếu ESOP (***),92.226.480.000,-,-,-,92.226.480.000,92226480000.0,,,,92226480000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,3.169.884.370.000,628.592.500,(79.164.500),72.033.896.887,3.242.467.694.887,3169884370000.0,628592500.0,-79164500.0,72033896887.0,3242467694887.0
