row_label_raw,row_label_full,Ông Nguyễn Đức Tài,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Phạm Văn Trọng,Ông Phạm Văn Trọng,Ông Phạm Văn Trọng,Giám đốc Kỹ thuật,bố nhiệm ngày 1 tháng 3 năm 2017,,
Ông Điều Chính Hải Triều,Ông Điều Chính Hải Triều,Ông Điều Chính Hải Triều,Giám đốc Kỹ thuật,từ nhiệm ngày 1 tháng 3 năm 2017,,
Ông Vũ Đăng Linh,Ông Vũ Đăng Linh,Ông Vũ Đăng Linh,Giám đốc Tài chính,,,
