row_label_raw,row_label_full,Ông Trần Huy Thanh Tùng,Trường ban,numeric__Trường ban
Ông Hoàng Hữu Hưng,Ông Hoàng Hữu Hưng,Ông Hoàng Hữu Hưng,Thành viên,
Ông Hoàng Xuân Thắng,Ông Hoàng Xuân Thắng,Ông Hoàng Xuân Thắng,Thành viên,
Bà Nguyễn Khánh Vân,Bà Nguyễn Khánh Vân,Bà Nguyễn Khánh Vân,Thành viên,
