row_label_raw,row_label_full,Phải thu bên liên quan (Thuyết minh số 14),Số cuối năm > 8.375.455.386,VND Số đầu năm > 3.566.619.938,numeric__Số cuối năm > 8.375.455.386,numeric__VND Số đầu năm > 3.566.619.938
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",8.007.208.750,-,8007208750.0,
Khác,Khác,Khác,5.309.015.633,122.011.633,5309015633.0,122011633.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,21.691.679.769,3.688.631.571,21691679769.0,3688631571.0
