row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,"Phương tiện vântải, truyền dẫn","Thiết bị, dụng cụquản lý",TSCĐ hữu hìnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,"numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__TSCĐ hữu hìnhkhác,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,756.702.015.392,225.820.909.071,26.589.776.616,2.433.439.950,6.788.901.156,1.018.335.042.185,756702015392.0,225820909071.0,26589776616.0,2433439950.0,6788901156.0,1018335042185.0
Số tăng trong năm,Nguyên giá > Số tăng trong năm,Số tăng trong năm,613.243.739.672,69.898.783.147,6.117.078.123,861.208.454,508.082.810,690.628.892.206,613243739672.0,69898783147.0,6117078123.0,861208454.0,508082810.0,690628892206.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,550.580.908,53.003.301.050,6.117.078.123,710.208.454,-,60.381.168.535,550580908.0,53003301050.0,6117078123.0,710208454.0,,60381168535.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,364.699.006.030,-,-,-,-,364.699.006.030,364699006030.0,,,,,364699006030.0
- Chuyển từ Đầu tư dài hạn khác,Nguyên giá > - Chuyển từ Đầu tư dài hạn khác,- Chuyển từ Đầu tư dài hạn khác,189.084.965.690,-,-,-,-,189.084.965.690,189084965690.0,,,,,189084965690.0
- Phân loại lại,Nguyên giá > - Phân loại lại,- Phân loại lại,-,353.642.808,-,-,508.082.810,861.725.618,,353642808.0,,,508082810.0,861725618.0
- Tăng do hợp nhất Fafim Việt Nam,Nguyên giá > - Tăng do hợp nhất Fafim Việt Nam,- Tăng do hợp nhất Fafim Việt Nam,58.909.187.044,16.541.839.289,-,151.000.000,-,75.602.026.333,58909187044.0,16541839289.0,,151000000.0,,75602026333.0
Số giảm trong năm,Nguyên giá > Số giảm trong năm,Số giảm trong năm,(2.732.907.010),(35.774.190.468),(4.983.928.079),(403.179.619),-,(43.894.205.176),-2732907010.0,-35774190468.0,-4983928079.0,-403179619.0,,-43894205176.0
- Giảm do thoái vốn Công ty con,Nguyên giá > - Giảm do thoái vốn Công ty con,- Giảm do thoái vốn Công ty con,-,(34.382.109.031),(2.652.840.659),(223.413.611),-,(37.258.363.301),,-34382109031.0,-2652840659.0,-223413611.0,,-37258363301.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.050.947.400),(1.392.081.437),(2.331.087.420),-,-,(5.774.116.257),-2050947400.0,-1392081437.0,-2331087420.0,,,-5774116257.0
- Phân loại lại,Nguyên giá > - Phân loại lại,- Phân loại lại,(681.959.610),-,-,(179.766.008),-,(861.725.618),-681959610.0,,,-179766008.0,,-861725618.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.367.212.848.054,259.945.501.750,27.722.926.660,2.891.468.785,7.296.983.966,1.665.069.729.215,1367212848054.0,259945501750.0,27722926660.0,2891468785.0,7296983966.0,1665069729215.0
