row_label_raw,row_label_full,a) Bàng đối chiếu biến động của vốn chủ sở hữu,a) Bàng đối chiếu biến động của vốn chủ sở hữu_1,a) Bàng đối chiếu biến động của vốn chủ sở hữu_2,a) Bàng đối chiếu biến động của vốn chủ sở hữu_3,a) Bàng đối chiếu biến động của vốn chủ sở hữu_4,a) Bàng đối chiếu biến động của vốn chủ sở hữu_5,a) Bàng đối chiếu biến động của vốn chủ sở hữu_6,a) Bàng đối chiếu biến động của vốn chủ sở hữu_7,a) Bàng đối chiếu biến động của vốn chủ sở hữu_8,numeric__a) Bàng đối chiếu biến động của vốn chủ sở hữu_1,numeric__a) Bàng đối chiếu biến động của vốn chủ sở hữu_2,numeric__a) Bàng đối chiếu biến động của vốn chủ sở hữu_3,numeric__a) Bàng đối chiếu biến động của vốn chủ sở hữu_4,numeric__a) Bàng đối chiếu biến động của vốn chủ sở hữu_5,numeric__a) Bàng đối chiếu biến động của vốn chủ sở hữu_6,numeric__a) Bàng đối chiếu biến động của vốn chủ sở hữu_7,numeric__a) Bàng đối chiếu biến động của vốn chủ sở hữu_8
,,,Vốn đầu tư củaChủ sở hữu,Vốn khác củachủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận churaphân phối,Lợi ích cổ đôngkhông kiểm soát,Cộng,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,1.286.825.482,(10.000),107.218.163.881,15.054.366.859,(2.461.021.613.878),642.368.992.815,1.304.906.725.159,3000000000000.0,1286825482.0,-10000.0,107218163881.0,15054366859.0,-2461021613878.0,642368992815.0,1304906725159.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,-,-,-,,,,,,,,
Lãi trong năm trước,Tăng vốn trong năm trước > Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,621.262.070.699,59.925.148.852,681.187.219.551,,,,,,621262070699.0,59925148852.0,681187219551.0
Trích quỹ khen thưởng phúc lợivà ban điều hành,Tăng vốn trong năm trước > Trích quỹ khen thưởng phúc lợivà ban điều hành,Trích quỹ khen thưởng phúc lợivà ban điều hành,-,-,-,-,-,(2.172.238.358),(1.051.741.784),(3.223.980.142),,,,,,-2172238358.0,-1051741784.0,-3223980142.0
Phân phối quỹ,Tăng vốn trong năm trước > Phân phối quỹ,Phân phối quỹ,-,-,-,2.873.321.454,-,(2.873.321.454),-,-,,,,2873321454.0,,-2873321454.0,,
Phân phối lại,Tăng vốn trong năm trước > Phân phối lại,Phân phối lại,-,-,-,-,-,9.416.477.734,(8.622.213.840),794.263.894,,,,,,9416477734.0,-8622213840.0,794263894.0
Thoái vốn vẫn năm quyền kiểm soát,Tăng vốn trong năm trước > Thoái vốn vẫn năm quyền kiểm soát,Thoái vốn vẫn năm quyền kiểm soát,-,-,-,(1.718.282.333),(709.294.020),59.192.570.607,6.640.065.143,63.405.059.397,,,,-1718282333.0,-709294020.0,59192570607.0,6640065143.0,63405059397.0
Giảm khác,Tăng vốn trong năm trước > Giảm khác,Giảm khác,-,-,-,-,-,(3.986.166.553),(4.804.306.167),(8.790.472.720),,,,,,-3986166553.0,-4804306167.0,-8790472720.0
Số dư cuối năm trước,Tăng vốn trong năm trước > Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,1.286.825.482,(10.000),108.373.203.002,14.345.072.839,(1.780.182.221.203),694.455.945.019,2.038.278.815.139,3000000000000.0,1286825482.0,-10000.0,108373203002.0,14345072839.0,-1780182221203.0,694455945019.0,2038278815139.0
Tăng vốn trong năm nay,Tăng vốn trong năm trước > Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,-,38.447.926.694,38.447.926.694,,,,,,,38447926694.0,38447926694.0
Lỗ trong năm nay,Tăng vốn trong năm trước > Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,-,-,(727.935.542.545),(66.340.291.249),(794.275.833.794),,,,,,-727935542545.0,-66340291249.0,-794275833794.0
Ảnh hưởng ghi nhận bổ sung tỷlệ lợi ích (âm) của cổ đôngkhông kiểm soát trong Công tycon đầu năm,Tăng vốn trong năm trước > Ảnh hưởng ghi nhận bổ sung tỷlệ lợi ích (âm) của cổ đôngkhông kiểm soát trong Công tycon đầu năm,Ảnh hưởng ghi nhận bổ sung tỷlệ lợi ích (âm) của cổ đôngkhông kiểm soát trong Công tycon đầu năm,-,-,-,-,-,32.754.131.062,(32.754.131.062),-,,,,,,32754131062.0,-32754131062.0,
Ảnh hưởng do thay đổi tỷ lệ lợiích tại công ty con,Tăng vốn trong năm trước > Ảnh hưởng do thay đổi tỷ lệ lợiích tại công ty con,Ảnh hưởng do thay đổi tỷ lệ lợiích tại công ty con,-,-,-,-,-,3.256.332.788,(3.256.332.788),-,,,,,,3256332788.0,-3256332788.0,
Ảnh hưởng do phân phối lợinhuận của Công ty con,Tăng vốn trong năm trước > Ảnh hưởng do phân phối lợinhuận của Công ty con,Ảnh hưởng do phân phối lợinhuận của Công ty con,-,-,-,1.483.846.798,-,(3.011.239.559),(9.301.729.371),(10.829.122.132),,,,1483846798.0,,-3011239559.0,-9301729371.0,-10829122132.0
Thoái vốn khởi Công ty THT,Tăng vốn trong năm trước > Thoái vốn khởi Công ty THT,Thoái vốn khởi Công ty THT,-,-,-,-,-,-,(64.845.327.761),(64.845.327.761),,,,,,,-64845327761.0,-64845327761.0
Tăng khác,Tăng vốn trong năm trước > Tăng khác,Tăng khác,-,-,-,-,-,3.000.000,-,3.000.000,,,,,,3000000.0,,3000000.0
Giảm khác trên công ty OCH (*),Tăng vốn trong năm trước > Giảm khác trên công ty OCH (*),Giảm khác trên công ty OCH (*),-,-,-,-,-,(4.622.080.591),(3.962.416.979),(8.584.497.570),,,,,,-4622080591.0,-3962416979.0,-8584497570.0
Số dư cuối năm nay,Tăng vốn trong năm trước > Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,1.286.825.482,(10.000),109.857.049.800,14.345.072.839,(2.479.737.620.049),552.443.642.503,1.198.194.960.575,3000000000000.0,1286825482.0,-10000.0,109857049800.0,14345072839.0,-2479737620049.0,552443642503.0,1198194960575.0
