row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Cộng
,,,VND,VND,VND,,,
Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,,,
Vay và nợ,Tại ngày 31/12/2016 > Vay và nợ,Vay và nợ,1.016.343.157.332,361.403.449.503,1.377.746.606.835,1016343157332.0,361403449503.0,1377746606835.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2016 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",938.068.435.802,884.055.815.020,1.822.124.250.822,938068435802.0,884055815020.0,1822124250822.0
Chi phí phải trả,Tại ngày 31/12/2016 > Chi phí phải trả,Chi phí phải trả,608.548.158.102,-,608.548.158.102,608548158102.0,,608548158102.0
,,,2.562.959.751.236,1.245.459.264.523,3.808.419.015.759,2562959751236.0,1245459264523.0,3808419015759.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,
Vay và nợ,Tại ngày 01/01/2016 > Vay và nợ,Vay và nợ,1.006.484.456.582,575.477.972.129,1.581.962.428.711,1006484456582.0,575477972129.0,1581962428711.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2016 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.072.620.054.671,750.692.963.040,1.823.313.017.711,1072620054671.0,750692963040.0,1823313017711.0
Chi phí phải trả,Tại ngày 01/01/2016 > Chi phí phải trả,Chi phí phải trả,294.656.902.363,-,294.656.902.363,294656902363.0,,294656902363.0
,,,2.373.761.413.616,1.326.170.935.169,3.699.932.348.785,2373761413616.0,1326170935169.0,3699932348785.0
