row_label_raw,row_label_full,Mã số TÀI SẢN,Mã số TÀI SẢN_1,Thuyết minh,31/12/2016,01/01/2016,numeric__Mã số TÀI SẢN_1,numeric__Thuyết minh,numeric__31/12/2016,numeric__01/01/2016
200,200,200,B. TÀI SẢN DÀI HẠN,,3.467.768.227.194,3.825.615.044.294,,,3467768227194.0,3825615044294.0
210,210,210,I. Các khoản phải thu dài hạn,,828.918.519.896,1.120.966.422.386,,,828918519896.0,1120966422386.0
212,212,212,1. Trả trước cho người bán dài hạn,6,1.175.338.378.374,1.181.459.728.374,,6.0,1175338378374.0,1181459728374.0
216,216,216,2. Phải thu dài hạn khác,8,508.026.848.926,508.506.694.012,,8.0,508026848926.0,508506694012.0
219,219,219,3. Dự phòng phải thu dài hạn khó đòi,,(854.446.707.404),(569.000.000.000),,,-854446707404.0,-569000000000.0
220,220,220,II. Tài sản cố định,,1.397.059.570.849,794.559.256.757,,,1397059570849.0,794559256757.0
221,221,221,1. Tài sản cố định hữu hình,13,1.290.251.287.872,704.374.220.788,,13.0,1290251287872.0,704374220788.0
222,222,222,- Nguyên giá,,1.665.069.729.215,1.018.335.042.185,,,1665069729215.0,1018335042185.0
223,223,223,- Giá trị hao mòn lũy kế,,(374.818.441.343),(313.960.821.397),,,-374818441343.0,-313960821397.0
227,227,227,2. Tài sản cố định vô hình,14,106.808.282.977,90.185.035.969,,14.0,106808282977.0,90185035969.0
228,228,228,- Nguyên giá,,111.586.568.730,105.952.953.748,,,111586568730.0,105952953748.0
229,229,229,- Giá trị hao mòn lũy kế,,(4.778.285.753),(15.767.917.779),,,-4778285753.0,-15767917779.0
230,230,230,III. Bắt động sản đầu tư,15,-,131.561.813.139,,15.0,,131561813139.0
231,231,231,- Nguyên giá,,-,264.389.086.110,,,,264389086110.0
232,232,232,- Giá trị hao mòn lũy kế,,-,(132.827.272.971),,,,-132827272971.0
240,240,240,IV. Tài sản dở dang dài hạn,,277.203.132.322,501.651.318.893,,,277203132322.0,501651318893.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,12,277.203.132.322,501.651.318.893,,12.0,277203132322.0,501651318893.0
250,250,250,V. Đầu tư tài chính dài hạn,4,369.475.171.234,669.782.530.080,,4.0,369475171234.0,669782530080.0
252,252,252,"2. Đầu tư vào công ty liên doanh, liên kết",,248.141.623.246,319.378.387.586,,,248141623246.0,319378387586.0
253,253,253,3. Đầu tư góp vốn vào đơn vị khác,,152.538.100.000,360.142.135.149,,,152538100000.0,360142135149.0
254,254,254,4. Dự phòng đầu tư tài chính dài hạn,,(31.204.552.012),(9.737.992.655),,,-31204552012.0,-9737992655.0
260,260,260,VI. Tài sản dài hạn khác,,595.111.832.893,607.093.703.039,,,595111832893.0,607093703039.0
261,261,261,1. Chi phí trả trước dài hạn,16,417.335.125.164,378.238.111.285,,16.0,417335125164.0,378238111285.0
262,262,262,2. Tài sản thuế thu nhập hoãn lại,,1.458.066.033,11.507.849.896,,,1458066033.0,11507849896.0
269,269,269,3. Lợi thế thương mại,17,176.318.641.696,217.347.741.858,,17.0,176318641696.0,217347741858.0
270,270,270,TỔNG CỘNG TÀI SẢN,,6.020.996.984.931,6.920.109.491.415,,,6020996984931.0,6920109491415.0
