row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Cộng
,,,VND,VND,VND,,,
Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,,,
Số dư đầu năm,Nguyễn giá > Số dư đầu năm,Số dư đầu năm,234.012.263.073,30.376.823.037,264.389.086.110,234012263073.0,30376823037.0,264389086110.0
Giảm do thoái vốn Công ty con,Nguyễn giá > Giảm do thoái vốn Công ty con,Giảm do thoái vốn Công ty con,(234.012.263.073),(30.376.823.037),(264.389.086.110),-234012263073.0,-30376823037.0,-264389086110.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,102.699.994.700,30.127.278.271,132.827.272.971,102699994700.0,30127278271.0,132827272971.0
Giảm do thoái vốn Công ty con,Giá trị hao mòn lũy kế > Giảm do thoái vốn Công ty con,Giảm do thoái vốn Công ty con,(102.699.994.700),(30.127.278.271),(132.827.272.971),-102699994700.0,-30127278271.0,-132827272971.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,131.312.268.373,249.544.766,131.561.813.139,131312268373.0,249544766.0,131561813139.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,-,-,-,,,
