row_label_raw,row_label_full,col_0,01/01/2016 > Giá trị,01/01/2016 > Số có khả năngtrả nợ,Trong năm > Tăng,Trong năm > Giảm,31/12/2016 > Giá trị,31/12/2016 > Số có khả năngtrả nợ,numeric__01/01/2016 > Giá trị,numeric__01/01/2016 > Số có khả năngtrả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2016 > Giá trị,numeric__31/12/2016 > Số có khả năngtrả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạnNgân hàng TMCP Quốc Dân (1),Vay ngắn hạnNgân hàng TMCP Quốc Dân (1),Vay ngắn hạnNgân hàng TMCP Quốc Dân (1),449.988.280.000,449.988.280.000,-,5.000.000.000,444.988.280.000,444.988.280.000,449988280000.0,449988280000.0,,5000000000.0,444988280000.0,444988280000.0
Công ty Cổ phần Đầu tư THT Việt Nam (2),Công ty Cổ phần Đầu tư THT Việt Nam (2),Công ty Cổ phần Đầu tư THT Việt Nam (2),-,-,17.500.000.000,17.500.000.000,-,-,,,17500000000.0,17500000000.0,,
Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,556.496.176.582,556.496.176.582,77.657.559.964,62.798.859.214,571.354.877.332,571.354.877.332,556496176582.0,556496176582.0,77657559964.0,62798859214.0,571354877332.0,571354877332.0
,,,1.006.484.456.582,1.006.484.456.582,95.157.559.964,85.298.859.214,1.016.343.157.332,1.016.343.157.332,1006484456582.0,1006484456582.0,95157559964.0,85298859214.0,1016343157332.0,1016343157332.0
Vay dài hạn- Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (3)- Ngân hàng Thương mại TNHH MTV Đại Dương (4),Vay dài hạn- Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (3)- Ngân hàng Thương mại TNHH MTV Đại Dương (4),Vay dài hạn- Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (3)- Ngân hàng Thương mại TNHH MTV Đại Dương (4),500.000.000.000,500.000.000.000,-,-,500.000.000.000,500.000.000.000,500000000000.0,500000000000.0,,,500000000000.0,500000000000.0
Vay dài hạn- Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (3)- Ngân hàng Thương mại TNHH MTV Đại Dương (4),Vay dài hạn- Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (3)- Ngân hàng Thương mại TNHH MTV Đại Dương (4),Vay dài hạn- Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (3)- Ngân hàng Thương mại TNHH MTV Đại Dương (4),631.974.148.711,631.974.148.711,-,199.215.821.876,432.758.326.835,432.758.326.835,631974148711.0,631974148711.0,,199215821876.0,432758326835.0,432758326835.0
Vay dài hạn- Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (3)- Ngân hàng Thương mại TNHH MTV Đại Dương (4),Vay dài hạn- Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (3)- Ngân hàng Thương mại TNHH MTV Đại Dương (4),Vay dài hạn- Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (3)- Ngân hàng Thương mại TNHH MTV Đại Dương (4),1.131.974.148.711,1.131.974.148.711,-,199.215.821.876,932.758.326.835,932.758.326.835,1131974148711.0,1131974148711.0,,199215821876.0,932758326835.0,932758326835.0
Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(556.496.176.582),(556.496.176.582),(77.657.559.964),(62.798.859.214),(571.354.877.332),(571.354.877.332),-556496176582.0,-556496176582.0,-77657559964.0,-62798859214.0,-571354877332.0,-571354877332.0
Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,575.477.972.129,575.477.972.129,,,361.403.449.503,361.403.449.503,575477972129.0,575477972129.0,,,361403449503.0,361403449503.0
