row_label_raw,row_label_full,col_0,Cuối nămVND,Tỷ lệ%,Đầu nămVND,Tỷ lệ%_1,numeric__Cuối nămVND,numeric__Tỷ lệ%,numeric__Đầu nămVND,numeric__Tỷ lệ%_1
Doanh nghiệp Tư nhân Hà Bảo,Doanh nghiệp Tư nhân Hà Bảo,Doanh nghiệp Tư nhân Hà Bảo,847.791.400.000,"28,26",847.791.400.000,"28,26",847791400000.0,28.26,847791400000.0,28.26
Vốn góp của các Cổ đông khác,Vốn góp của các Cổ đông khác,Vốn góp của các Cổ đông khác,2.152.208.600.000,"71,74",2.152.208.600.000,"71,74",2152208600000.0,71.74,2152208600000.0,71.74
,,,3.000.000.000.000,100,3.000.000.000.000,100,3000000000000.0,100.0,3000000000000.0,100.0
