row_label_raw,row_label_full,Mã số CHỈ TIÊU,Mã số CHỈ TIÊU_1,Thuyết minh,Năm 2016 > VND,Năm 2015 > VND,numeric__Mã số CHỈ TIÊU_1,numeric__Thuyết minh,numeric__Năm 2016 > VND,numeric__Năm 2015 > VND
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận trước thuế,,(730.811.986.602),726.157.876.156,,,-730811986602.0,726157876156.0
01,01,01,Điều chính cho các khoản,,,,,,,
02,01 > 02,02,- Khấu hao tài sản cố định và bắt động sản đầu tư,,73.452.952.849,68.394.820.239,,,73452952849.0,68394820239.0
03,01 > 03,03,- Các khoản dự phòng,,697.052.619.364,963.657.517.935,,,697052619364.0,963657517935.0
05,01 > 05,05,- Lãi/lỗ từ hoạt động đầu tư,,(53.600.630.923),(1.766.652.561.374),,,-53600630923.0,-1766652561374.0
06,01 > 06,06,- Chi phí lãi vay,,165.238.552.206,163.189.828.290,,,165238552206.0,163189828290.0
07,01 > 07,07,- Các khoản điều chỉnh khác,,,34.818.187.232,,,,34818187232.0
08,01 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,151.331.506.894,189.565.668.478,,,151331506894.0,189565668478.0
09,01 > 09,09,- Tăng/giảm các khoản phải thu,,50.228.937.313,531.721.815.567,,,50228937313.0,531721815567.0
10,01 > 10,10,- Tăng/giảm hàng tồn kho,,(38.875.493.477),50.668.289.020,,,-38875493477.0,50668289020.0
