row_label_raw,row_label_full,Doanh thu tài chính,Doanh thu tài chính_1,Doanh thu tài chính_2,Doanh thu tài chính_3,numeric__Doanh thu tài chính_1,numeric__Doanh thu tài chính_2,numeric__Doanh thu tài chính_3
Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Bên liên kết,-,1.139.896,,,1139896.0
Công ty TNHH VNT,Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,-,12.669.670.019,,,12669670019.0
Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,,,
,,,Mối quan hệ,31/12/2016,01/01/2016,,,
,,,Mối quan hệ,VND,VND,,,
Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,,,
Công ty Cổ phần Chứng khoán Đại Dương,Phải thu ngắn hạn khách hàng > Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Bên liên kết,44.952.436,-,,44952436.0,
Công ty Cổ phần Phát triển thương mại dịch vụ Hà Thành,Phải thu ngắn hạn khách hàng > Công ty Cổ phần Phát triển thương mại dịch vụ Hà Thành,Công ty Cổ phần Phát triển thương mại dịch vụ Hà Thành,Bên liên quan khác,2.034.655.250,2.034.655.250,,2034655250.0,2034655250.0
Công ty TNHH VNT,Phải thu ngắn hạn khách hàng > Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,20.910.560,-,,20910560.0,
Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,,,
Công ty TNHH VNT,Phải thu cho vay ngắn hạn > Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,28.600.000.000,29.600.000.000,,28600000000.0,29600000000.0
