row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Cộng
,,,VND,VND,VND,,,
Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,203.703.576.015,-,203.703.576.015,203703576015.0,,203703576015.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2016 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.571.681.746.794,1.771.765.362,1.573.453.512.156,1571681746794.0,1771765362.0,1573453512156.0
Các khoản cho vay,Tại ngày 31/12/2016 > Các khoản cho vay,Các khoản cho vay,820.783.967.837,-,820.783.967.837,820783967837.0,,820783967837.0
Đầu tư ngắn hạn,Tại ngày 31/12/2016 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,30.173.998.200,-,30.173.998.200,30173998200.0,,30173998200.0
Đầu tư dài hạn,Tại ngày 31/12/2016 > Đầu tư dài hạn,Đầu tư dài hạn,-,121.333.547.988,121.333.547.988,,121333547988.0,121333547988.0
,,,2.626.343.288.846,123.105.313.350,2.749.448.602.196,2626343288846.0,123105313350.0,2749448602196.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,239.450.141.907,-,239.450.141.907,239450141907.0,,239450141907.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2016 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.685.061.362.141,8.498.694.012,1.693.560.056.153,1685061362141.0,8498694012.0,1693560056153.0
Các khoản cho vay,Tại ngày 01/01/2016 > Các khoản cho vay,Các khoản cho vay,1.001.043.269.210,-,1.001.043.269.210,1001043269210.0,,1001043269210.0
Đầu tư ngắn hạn,Tại ngày 01/01/2016 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,112.731.358.400,-,112.731.358.400,112731358400.0,,112731358400.0
Đầu tư dài hạn,Tại ngày 01/01/2016 > Đầu tư dài hạn,Đầu tư dài hạn,-,350.404.142.494,350.404.142.494,,350404142494.0,350404142494.0
,,,3.038.286.131.658,358.902.836.506,3.397.188.968.164,3038286131658.0,358902836506.0,3397188968164.0
