row_label_raw,row_label_full,col_0,"Hàng hóa, thành phẩm",Dịch vụ,Bất động sản,Hoạt động khác,Loại trừ,Tổng cộng toàn doanh nghiệp,"numeric__Hàng hóa, thành phẩm",numeric__Dịch vụ,numeric__Bất động sản,numeric__Hoạt động khác,numeric__Loại trừ,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên,Doanh thu thuần từ bán hàng ra bên,Doanh thu thuần từ bán hàng ra bên,564.355.844.233,351.095.042.141,333.053.887.165,-,(76.477.358.979),1.172.027.414.560,564355844233.0,351095042141.0,333053887165.0,,-76477358979.0,1172027414560.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,260.366.646.139,145.574.989.880,69.589.234.328,-,4.198.665.753,479.729.536.100,260366646139.0,145574989880.0,69589234328.0,,4198665753.0,479729536100.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,7.188.986.577,177.638.650.267,-,-,-,201.046.956.676,7188986577.0,177638650267.0,,,,201046956676.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,501.526.683.080,4.451.602.856.888,29.171.326.275,-,(1.779.657.155.933),3.202.643.710.310,501526683080.0,4451602856888.0,29171326275.0,,-1779657155933.0,3202643710310.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,2.816.895.208.588,,,,,,2816895208588.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,508.715.669.657,4.629.241.507.155,29.171.326.275,-,(1.779.657.155.933),6.019.538.918.898,508715669657.0,4629241507155.0,29171326275.0,,-1779657155933.0,6019538918898.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,63.042.326.227,2.688.966.671.191,12.956.361.947,-,(471.051.049.596),2.293.914.309.769,63042326227.0,2688966671191.0,12956361947.0,,-471051049596.0,2293914309769.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,2.430.570.351.339,,,,,,2430570351339.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,63.042.326.227,2.688.966.671.191,12.956.361.947,-,(471.051.049.596),4.724.484.661.108,63042326227.0,2688966671191.0,12956361947.0,,-471051049596.0,4724484661108.0
