row_label_raw,row_label_full,col_0,31/12/2016 > Giá gốcVND,31/12/2016 > Giá trị sau dự phòngVND,01/01/2016 > Giá gốcVND,01/01/2016 > Giá trị sau dự phòngVND,numeric__31/12/2016 > Giá gốcVND,numeric__31/12/2016 > Giá trị sau dự phòngVND,numeric__01/01/2016 > Giá gốcVND,numeric__01/01/2016 > Giá trị sau dự phòngVND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,,,
Phải thu về cho vay ngắn hạn,a. Ngắn hạn > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,1.349.733.804.339,730.310.501.196,1.354.793.804.339,831.443.269.210,1349733804339.0,730310501196.0,1354793804339.0,831443269210.0
Phải thu ngắn hạn của khách hàng,a. Ngắn hạn > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,92.277.828.426,6.298.155.488,98.625.636.597,23.075.279.623,92277828426.0,6298155488.0,98625636597.0,23075279623.0
Phải thu ngắn hạn khác,a. Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,2.333.897.862.803,424.889.761.051,2.277.458.758.415,616.598.844.410,2333897862803.0,424889761051.0,2277458758415.0,616598844410.0
Trả trước cho người bán ngắn hạn,a. Ngắn hạn > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,178.002.620.002,47.761.465.677,178.150.455.822,78.859.952.375,178002620002.0,47761465677.0,178150455822.0,78859952375.0
,,,3.953.912.115.570,1.209.259.883.412,3.909.028.655.173,1.549.977.345.618,3953912115570.0,1209259883412.0,3909028655173.0,1549977345618.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,,,
Phải thu dài hạn khác,b. Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,506.255.083.564,-,500.000.000.000,-,506255083564.0,,500000000000.0,
Trả trước cho người bán dài hạn,b. Dài hạn > Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,705.383.247.680,357.191.623.840,450.000.000.000,381.000.000.000,705383247680.0,357191623840.0,450000000000.0,381000000000.0
,,,1.211.638.331.244,357.191.623.840,950.000.000.000,381.000.000.000,1211638331244.0,357191623840.0,950000000000.0,381000000000.0
