row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích(%),Tỷ lệ biểu quyết(%),Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích(%),numeric__Tỷ lệ biểu quyết(%),numeric__Hoạt động kinh doanh chính
Công ty Cổ phần Fafim Việt Nam,Công ty Cổ phần Fafim Việt Nam,Công ty Cổ phần Fafim Việt Nam,Hà Nội,"50,19","50,19",Kinh doanh chiếu film,,50.19,50.19,
Công ty TNHH Đầu tư kinh doanh Bất động sản,Công ty TNHH Đầu tư kinh doanh Bất động sản,Công ty TNHH Đầu tư kinh doanh Bất động sản,Hà Nội,"98,70","98,70",Kinh doanh bất động sản,,98.7,98.7,
Công ty Cổ phần Công nghệ Xổ số Đại Dương,Công ty Cổ phần Công nghệ Xổ số Đại Dương,Công ty Cổ phần Công nghệ Xổ số Đại Dương,Hà Nội,,Đang thực hiện thủ tục giải thể,Đang thực hiện thủ tục giải thể,,,,
