row_label_raw,row_label_full,Cổ tức phải thu (Thuyết minh 25(b)),31/12/2022VND > 1.033.000.000.000,31/12/2021VND > 900.000.000.000,numeric__31/12/2022VND > 1.033.000.000.000,numeric__31/12/2021VND > 900.000.000.000
Lãi tiền gửi và cho vay,Lãi tiền gửi và cho vay,Lãi tiền gửi và cho vay,101.449.320.971,84.444.030.721,101449320971.0,84444030721.0
Phải thu khác từ bên liên quan(Thuyết minh 25(b)),Phải thu khác từ bên liên quan(Thuyết minh 25(b)),Phải thu khác từ bên liên quan(Thuyết minh 25(b)),192.897.848.572,188.697.099.444,192897848572.0,188697099444.0
Khác,Khác,Khác,12.101.518.836,18.289.810.611,12101518836.0,18289810611.0
,,,1.339.448.688.379,1.191.430.940.776,1339448688379.0,1191430940776.0
