row_label_raw,row_label_full,STT,Họ và tên,Chức danh,2022VND,2021VND,numeric__Họ và tên,numeric__Chức danh,numeric__2022VND,numeric__2021VND
,,,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,,,,
1,1,1,Ông Trương Gia Bình,Chủ tịch,-,-,,,,
2,2,2,Ông Bùi Quang Ngọc,Phó Chủ tịch,-,-,,,,
3,3,3,Ông Đỗ Cao Bảo,Ủy viên,-,-,,,,
4,3 > 4,4,Ông Lê Song Lai,Ủy viên,66.000.000,264.000.000,,,66000000.0,264000000.0
5,3 > 5,5,Bà Trần Thị Hồng Lĩnh,Ủy viên,270.000.000,(*),,,270000000.0,
6,3 > 6,6,Ông Jean Charles Belliol,Ủy viên,870.000.000,600.000.000,,,870000000.0,600000000.0
7,3 > 7,7,Ông Hampapur Rangadore Binod,Ủy viên,1.758.750.000,(*),,,1758750000.0,
8,3 > 8,8,Ông Hiroshi Yokotsuka,Ủy viên,1.758.750.000,(*),,,1758750000.0,
9,3 > 9,9,Ông Tomokazu Hamaguchi,Ủy viên,574.375.000,2.292.000.000,,,574375000.0,2292000000.0
10,3 > 10,10,Ông Dan E Khoo,Ủy viên,574.375.000,2.292.000.000,,,574375000.0,2292000000.0
,,,,,5.872.250.000,5.448.000.000,,,5872250000.0,5448000000.0
