row_label_raw,row_label_full,Mãsố,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,Thuyếtminh,2022VND,2021VND,,,
LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
31,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 31,31,Tiền thu từ phát hành cổ phiếu,67.266.410.000,52.097.680.000,,67266410000.0,52097680000.0
33,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 33,33,Tiền thu đi vay,16.207.740.000.000,17.864.205.700.000,,16207740000000.0,17864205700000.0
34,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 34,34,Tiền chi trả nợ gốc vay,(16.830.740.000.000),(16.412.030.000.000),,-16830740000000.0,-16412030000000.0
36,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 36,36,"Tiền cổ tức, lợi nhuận đã trả cho chủ sở hữu",(2.009.634.175.025),(1.695.439.595.275),,-2009634175025.0,-1695439595275.0
40,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,(2.565.367.765.025),(191.166.215.275),,-2565367765025.0,-191166215275.0
50,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,(493.780.274.037),33.598.154.084,,-493780274037.0,33598154084.0
60,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,3,2.096.322.957.509,,3.0,2096322957509.0
61,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,44.429.575,(20.030.723),,44429575.0,-20030723.0
70,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,3,1.602.587.113.047,,3.0,1602587113047.0
