row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,1.791.355.201.772,275.669.165.277,15.214.410.455,72.872.913.076,2.805.687.711,2.157.917.378.291,1791355201772.0,275669165277.0,15214410455.0,72872913076.0,2805687711.0,2157917378291.0
Chuyên từ chi phí xây dựng cơbản dở dang,Nguyên giá > Chuyên từ chi phí xây dựng cơbản dở dang,Chuyên từ chi phí xây dựng cơbản dở dang,90.039.931.278,-,-,-,-,90.039.931.278,90039931278.0,,,,,90039931278.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.015.505.314,-,4.478.343.663,-,6.493.848.977,,2015505314.0,,4478343663.0,,6493848977.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(75.581.819),-,(75.581.819),,,,-75581819.0,,-75581819.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(1.160.648.184),-,-,-,-,(1.160.648.184),-1160648184.0,,,,,-1160648184.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,1.880.234.484.866,277.684.670.591,15.214.410.455,77.275.674.920,2.805.687.711,2.253.214.928.543,1880234484866.0,277684670591.0,15214410455.0,77275674920.0,2805687711.0,2253214928543.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao luỹ kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,(82.229.015.755),(43.832.547.405),(9.970.010.925),(56.138.047.401),(756.095.939),(192.925.717.425),-82229015755.0,-43832547405.0,-9970010925.0,-56138047401.0,-756095939.0,-192925717425.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,(76.128.934.017),(24.854.933.828),(1.907.665.207),(8.504.618.652),(881.155.473),(112.277.307.177),-76128934017.0,-24854933828.0,-1907665207.0,-8504618652.0,-881155473.0,-112277307177.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,75.581.819,-,75.581.819,,,,75581819.0,,75581819.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao luỹ kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,(158.357.949.772),(68.687.481.233),(11.877.676.132),(64.567.084.234),(1.637.251.412),(305.127.442.783),-158357949772.0,-68687481233.0,-11877676132.0,-64567084234.0,-1637251412.0,-305127442783.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,1.709.126.186.017,231.836.617.872,5.244.399.530,16.734.865.675,2.049.591.772,1.964.991.660.866,1709126186017.0,231836617872.0,5244399530.0,16734865675.0,2049591772.0,1964991660866.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,1.721.876.535.094,208.997.189.358,3.336.734.323,12.708.590.686,1.168.436.299,1.948.087.485.760,1721876535094.0,208997189358.0,3336734323.0,12708590686.0,1168436299.0,1948087485760.0
