row_label_raw,row_label_full,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,5.600.000.000.000,7.375.000.000.000,numeric__5.600.000.000.000,numeric__7.375.000.000.000
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,4.030.000.000.000,3.306.000.000.000,4030000000000.0,3306000000000.0
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,3.792.000.000.000,1.836.000.000.000,3792000000000.0,1836000000000.0
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,3.192.740.000.000,3.796.030.000.000,3192740000000.0,3796030000000.0
Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,125.000.000.000,12.000.000.000,125000000000.0,12000000000.0
Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,91.000.000.000,-,91000000000.0,
Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,-,82.000.000.000,,82000000000.0
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,-,5.000.000.000,,5000000000.0
,,,16.830.740.000.000,16.412.030.000.000,16830740000000.0,16412030000000.0
