row_label_raw,row_label_full,Công ty liên kết,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tại ngày 31/12/2022 và 31/12/2021,Tại ngày 31/12/2022 và 31/12/2021_1,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Tại ngày 31/12/2022 và 31/12/2021,numeric__Tại ngày 31/12/2022 và 31/12/2021_1
Công ty liên kết,Công ty liên kết,Công ty liên kết,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu %,Tỷ lệ biểu quyết %,,,,
Công ty Cổ phần Synnex FPT,Công ty liên kết > Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,"Sản xuất các sản phẩm công nghệ và phân phối các linh kiện CNTT và điện thoại di động, chế tạo máy tính","Số 17, Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",48%,48%,,,0.48,0.48
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty liên kết > Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,"Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông; đại lý dịch vụ viễn thông","Số 261 - 263 Khánh Hội, Phường 2, Quận 4, Hồ Chí Minh","46,53%","46,53%",,,0.4653,0.4653
