row_label_raw,row_label_full,Công ty TNHH Giáo dục FPT,77.848.662.500,99.431.615.000,numeric__77.848.662.500,numeric__99.431.615.000
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,74.553.540.351,71.392.507.410,74553540351.0,71392507410.0
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,49.710.840.357,28.913.316.780,49710840357.0,28913316780.0
Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,6.378.268.771,14.485.699.583,6378268771.0,14485699583.0
Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,5.206.478.013,3.775.616.250,5206478013.0,3775616250.0
Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,3.823.445.500,21.391.015.967,3823445500.0,21391015967.0
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,2.594.551.620,1.258.182.206,2594551620.0,1258182206.0
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,1.476.807.312,613.190.908,1476807312.0,613190908.0
