row_label_raw,row_label_full,Công ty TNHH Phần mềm FPT,700.000.000.000,500.000.000.000,numeric__700.000.000.000,numeric__500.000.000.000
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,600.000.000.000,400.000.000.000,600000000000.0,400000000000.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,250.000.000.000,-,250000000000.0,
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,-,200.000.000.000,,200000000000.0
Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,-,60.000.000.000,,60000000000.0
