row_label_raw,row_label_full,Công ty TNHH Đầu tư FPT,3.092.571.510,1.915.853.697,numeric__3.092.571.510,numeric__1.915.853.697
Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,2.535.586.303,-,2535586303.0,
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,312.817.124,321.053.835,312817124.0,321053835.0
