row_label_raw,row_label_full,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,137.280.877.806,128.669.581.500,numeric__Công ty liên kết,numeric__137.280.877.806,numeric__128.669.581.500
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,123.835.460,1.864.050.831,,123835460.0,1864050831.0
- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Đại diện vốn của cổ đông Nhà nước,-,1.227.395.497,,,1227395497.0
- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,Công ty con,20.361.821,62.886.320,,20361821.0,62886320.0
- Công ty TNHH Sân Golf Palm Sông Bé,- Công ty TNHH Sân Golf Palm Sông Bé,- Công ty TNHH Sân Golf Palm Sông Bé,Công ty con,60.431.989,465.705.514,,60431989.0,465705514.0
- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,Công ty liên kết,43.041.650,97.521.500,,43041650.0,97521500.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,-,10.542.000,,,10542000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,1.172.124.447.732,1.183.974.861.632,,1172124447732.0,1183974861632.0
- Tỉnh ủy Bình Dương,- Tỉnh ủy Bình Dương,- Tỉnh ủy Bình Dương,Cổ đông Nhà nước,1.095.233.570.937,1.096.575.237.604,,1095233570937.0,1096575237604.0
- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,Công ty con,-,10.376.109.589,,,10376109589.0
"- KP Apparel Manufacturing Co.,Ltd","- KP Apparel Manufacturing Co.,Ltd","- KP Apparel Manufacturing Co.,Ltd",Công ty con,76.890.876.795,77.023.514.439,,76890876795.0,77023514439.0
