row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư tại 01/01/2019,Số dư tại 01/01/2019,Số dư tại 01/01/2019,3.000.000.000.000,-,(24.294.747.417),2.975.705.252.583,3000000000000.0,,-24294747417.0,2975705252583.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,66.195.988.148,66.195.988.148,,,66195988148.0,66195988148.0
Chia cô tức,Chia cô tức,Chia cô tức,-,-,(30.000.000.000),(30.000.000.000),,,-30000000000.0,-30000000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,3.309.799.407,(3.309.799.407),-,,3309799407.0,-3309799407.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,(3.309.799.407),(3.309.799.407),,,-3309799407.0,-3309799407.0
Trích thù lao Hội đồng Quản trị,Trích thù lao Hội đồng Quản trị,Trích thù lao Hội đồng Quản trị,-,-,(1.555.200.000),(1.555.200.000),,,-1555200000.0,-1555200000.0
Số dư tại 31/12/2019,Số dư tại 31/12/2019,Số dư tại 31/12/2019,3.000.000.000.000,3.309.799.407,3.726.441.917,3.007.036.241.324,3000000000000.0,3309799407.0,3726441917.0,3007036241324.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.000.000.000.000,3.309.799.407,3.726.441.917,3.007.036.241.324,3000000000000.0,3309799407.0,3726441917.0,3007036241324.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,143.086.522.050,143.086.522.050,,,143086522050.0,143086522050.0
Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),-,7.154.326.103,(7.154.326.103),-,,7154326103.0,-7154326103.0,
Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),-,-,(7.154.326.103),(7.154.326.103),,,-7154326103.0,-7154326103.0
Trích quỹ thưởng ban điều hành (*),Trích quỹ thưởng ban điều hành (*),Trích quỹ thưởng ban điều hành (*),-,-,(324.000.000),(324.000.000),,,-324000000.0,-324000000.0
"Trích thù lao Hội Đồng Quản Trị, Ban Kiểm soát và Ban thư ký (**)","Trích thù lao Hội Đồng Quản Trị, Ban Kiểm soát và Ban thư ký (**)","Trích thù lao Hội Đồng Quản Trị, Ban Kiểm soát và Ban thư ký (**)",-,-,(1.658.880.000),(1.658.880.000),,,-1658880000.0,-1658880000.0
