row_label_raw,row_label_full,Mã số,NGUỒN VỐN,NGUỒN VỐN_1,Thuyết minh,31/12/2020VND,01/01/2020VND,numeric__NGUỒN VỐN,numeric__NGUỒN VỐN_1,numeric__Thuyết minh,numeric__31/12/2020VND,numeric__01/01/2020VND
300,300,300,C.,NỘ PHẢI TRẢ,,1.372.113.890.088,2.249.835.616.801,,,,1372113890088.0,2249835616801.0
310,310,310,I.,Nợ ngắn hạn,,1.314.847.223.421,1.753.168.950.134,,,,1314847223421.0,1753168950134.0
311,311,311,1.,Phải trả người bán ngắn hạn,17,343.551.240,2.623.721.461,1.0,,17.0,343551240.0,2623721461.0
313,313,313,2.,Thuế và các khoản phải nộp Nhà nước,18,9.481.260.537,12.737.904.131,2.0,,18.0,9481260537.0,12737904131.0
314,314,314,3.,Phải trả người lao động,,1.910.050.000,4.022.281.785,3.0,,,1910050000.0,4022281785.0
315,315,315,4.,Chi phí phải trả ngắn hạn,19,125.432.958.852,126.689.763.321,4.0,,19.0,125432958852.0,126689763321.0
318,318,318,5.,Doanh thu chưa thực hiện ngắn hạn,,55.000.000,50.000.000,5.0,,,55000000.0,50000000.0
319,319,319,6.,Phải trả ngắn hạn khác,20,1.174.915.097.378,1.188.153.904.929,6.0,,20.0,1174915097378.0,1188153904929.0
320,320,320,7.,Vay và nợ thuê tài chính ngắn hạn,16,-,418.891.374.507,7.0,,16.0,,418891374507.0
322,322,322,8.,Quỹ khen thưởng phúc lợi,,2.709.305.414,-,8.0,,,2709305414.0,
330,330,330,II.,Nợ dài hạn,,57.266.666.667,496.666.666.667,,,,57266666667.0,496666666667.0
337,337,337,1.,Phải trả dài hạn khác,20,57.266.666.667,56.666.666.667,1.0,,20.0,57266666667.0,56666666667.0
338,338,338,2.,Vay và nợ thuê tài chính dài hạn,16,-,440.000.000.000,2.0,,16.0,,440000000000.0
400,400,400,D.,VỐN CHỦ SỞ HỮU,,3.140.985.557.271,3.007.036.241.324,,,,3140985557271.0,3007036241324.0
410,410,410,I.,Vốn chủ sở hữu,21,3.140.985.557.271,3.007.036.241.324,,,21.0,3140985557271.0,3007036241324.0
411,411,411,1.,Vốn góp của chủ sở hữu,,3.000.000.000.000,3.000.000.000.000,1.0,,,3000000000000.0,3000000000000.0
411a,411a,411a,,Cổ phiếu phổ thông có quyền biểu quyết,,3.000.000.000.000,3.000.000.000.000,,,,3000000000000.0,3000000000000.0
418,418,418,2.,Quỹ đầu tư phát triển,,10.464.125.510,3.309.799.407,2.0,,,10464125510.0,3309799407.0
421,421,421,3.,Lợi nhuận sau thuế chưa phân phối,,130.521.431.761,3.726.441.917,3.0,,,130521431761.0,3726441917.0
421a,421a,421a,,LNST chưa phân phối lũy kế đến cuối năm trước,,3.726.441.917,(24.294.747.417),,,,3726441917.0,-24294747417.0
421b,421b,421b,,LNST chưa phân phối năm nay,,126.794.989.844,28.021.189.334,,,,126794989844.0,28021189334.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,,4.513.099.447.359,5.256.871.858.125,,,,4513099447359.0,5256871858125.0
