row_label_raw,row_label_full,col_0,Mối quan hệ,Năm 2020,Năm 2019,numeric__Mối quan hệ,numeric__Năm 2020,numeric__Năm 2019
,,,Mối quan hệ,VND,VND,,,
Góp vốn,Góp vốn,Góp vốn,,-,761.306.400.000,,,761306400000.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,-,761.306.400.000,,,761306400000.0
Giảm vốn,Giảm vốn,Giảm vốn,,-,964.321.000.000,,,964321000000.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,-,964.321.000.000,,,964321000000.0
Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,,91.875.000.000,-,,91875000000.0,
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,91.875.000.000,-,,91875000000.0,
Cho vay,Cho vay,Cho vay,,94.000.000.000,30.000.000.000,,94000000000.0,30000000000.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,94.000.000.000,30.000.000.000,,94000000000.0,30000000000.0
Thu hồi nợ cho vay,Thu hồi nợ cho vay,Thu hồi nợ cho vay,,63.000.000.000,21.767.282.706,,63000000000.0,21767282706.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,63.000.000.000,-,,63000000000.0,
- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty con,-,13.000.000.000,,,13000000000.0
- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Công ty liên kết,-,8.767.282.706,,,8767282706.0
Nhận nợ vay,Nhận nợ vay,Nhận nợ vay,,40.000.000.000,590.000.000.000,,40000000000.0,590000000000.0
- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,Công ty con,40.000.000.000,590.000.000.000,,40000000000.0,590000000000.0
Trả nợ vay,Trả nợ vay,Trả nợ vay,,555.000.000.000,610.000.000.000,,555000000000.0,610000000000.0
- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,Công ty con,480.000.000.000,610.000.000.000,,480000000000.0,610000000000.0
- Tỉnh ủy Bình Dương,- Tỉnh ủy Bình Dương,- Tỉnh ủy Bình Dương,Cổ đông Nhà nước,75.000.000.000,-,,75000000000.0,
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,,487.884.546,-,,487884546.0,
- Công ty TNHH Sân Golf Palm Sông Bé,- Công ty TNHH Sân Golf Palm Sông Bé,- Công ty TNHH Sân Golf Palm Sông Bé,Công ty con,30.720.910,-,,30720910.0,
- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,Công ty con,436.363.636,-,,436363636.0,
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,20.800.000,-,,20800000.0,
