row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2020 > VND,Năm 2019 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2020 > VND,numeric__Năm 2019 > VND
,,,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,01,01,Lợi nhuận trước thuế,,143.086.522.050,66.195.988.148,,,143086522050.0,66195988148.0
01,01,01,Điều chỉnh cho các khoản,,,,,,,
02,01 > 02,02,Khấu hao tài sản cố định và bất động sản đầu,,3.356.955.453,3.588.358.250,,,3356955453.0,3588358250.0
03,01 > 03,03,Các khoản dự phòng,,45.651.394.898,338.110.656.711,,,45651394898.0,338110656711.0
04,01 > 04,04,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,(1.730.832.938),353.664.975,,,-1730832938.0,353664975.0
05,01 > 05,05,"Lãi, lỗ từ hoạt động đầu tư",,(276.702.637.667),(590.291.674.801),,,-276702637667.0,-590291674801.0
06,01 > 06,06,Chi phí lãi vay,,28.509.037.441,116.195.958.048,,,28509037441.0,116195958048.0
08,01 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,(57.829.560.763),(65.847.048.669),,,-57829560763.0,-65847048669.0
09,01 > 09,09,"Tăng, giảm các khoản phải thu",,1.195.068.647.647,(330.503.312.427),,,1195068647647.0,-330503312427.0
10,01 > 10,10,"Tăng, giảm hàng tồn kho",,12.646.004.374,925.112.149,,,12646004374.0,925112149.0
11,01 > 11,11,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(6.763.104.965),(88.490.129.112),,,-6763104965.0,-88490129112.0
12,01 > 12,12,"Tăng, giảm chi phí trả trước",,19.264.140.238,18.817.658.943,,,19264140238.0,18817658943.0
14,01 > 14,14,Tiền lãi vay đã trả,,(41.483.618.166),(117.283.658.107),,,-41483618166.0,-117283658107.0
15,01 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,,-,(28.144.743.461),,,,-28144743461.0
17,01 > 17,17,Tiền chi khác cho hoạt động kinh doanh,,(6.427.900.689),(4.817.990.081),,,-6427900689.0,-4817990081.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,1.114.474.607.676,(615.344.110.765),,,1114474607676.0,-615344110765.0
,,,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,01 > 21,21,"Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(1.409.984.010),(1.726.179.445),,,-1409984010.0,-1726179445.0
22,01 > 22,22,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",,274.800.000,-,,,274800000.0,
23,01 > 23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(94.000.000.000),(30.000.000.000),,,-94000000000.0,-30000000000.0
24,01 > 24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,63.035.903.889,22.254.732.240,,,63035903889.0,22254732240.0
25,01 > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(91.875.000.000),-,,,-91875000000.0,
26,01 > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,-,203.015.040.000,,,,203015040000.0
27,01 > 27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,293.687.711.253,539.249.332.075,,,293687711253.0,539249332075.0
30,01 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,169.713.431.132,732.792.924.870,,,169713431132.0,732792924870.0
