row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,
Chi phí môi giới bắt động sản và các chi phí bán hàng dự án An Khánh – An Thượng,Chi phí bán hàng > Chi phí môi giới bắt động sản và các chi phí bán hàng dự án An Khánh – An Thượng,Chi phí môi giới bắt động sản và các chi phí bán hàng dự án An Khánh – An Thượng,104.780.245.982,-,104780245982.0,
Chi phí quảng cáo và chi phí khác,Chi phí bán hàng > Chi phí quảng cáo và chi phí khác,Chi phí quảng cáo và chi phí khác,9.324.049.128,3.376.017.211,9324049128.0,3376017211.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,114.104.295.110,3.376.017.211,114104295110.0,3376017211.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp > Chi phí nhân công,Chi phí nhân công,53.715.476.463,51.155.812.820,53715476463.0,51155812820.0
Chi phí dự phòng nợ phải thu khó đòi,Chi phí quản lý doanh nghiệp > Chi phí dự phòng nợ phải thu khó đòi,Chi phí dự phòng nợ phải thu khó đòi,42.096.523.130,21.489.517.574,42096523130.0,21489517574.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,12.430.025.841,14.299.588.448,12430025841.0,14299588448.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,946.459.369,898.042.206,946459369.0,898042206.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,14.547.236.370,15.700.501.210,14547236370.0,15700501210.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,123.735.721.173,103.543.462.258,123735721173.0,103543462258.0
