row_label_raw,row_label_full,Bên liên quan > Công ty Khánh Hà,Mối quan hệ > Công ty con,Số dư cho vay VND > 10.900.000.000,Lãi suất %/năm > 8%/năm,Ngày đảo hạn > Ngày 26 tháng 6 năm 2023,Hình thức đảm bảo > Tín chấp,numeric__Mối quan hệ > Công ty con,numeric__Số dư cho vay VND > 10.900.000.000,numeric__Lãi suất %/năm > 8%/năm,numeric__Ngày đảo hạn > Ngày 26 tháng 6 năm 2023,numeric__Hình thức đảm bảo > Tín chấp
,,,,10.900.000.000,,,,,10900000000.0,,,
Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Số dư cho vay VND,Lãi suất %/năm,Ngày đảo hạn,Hình thức đảm bảo,,,,,
Công ty Thiết bị Giáo dục 1,Bên liên quan > Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,23.500.000.000,"9,5%-11%/năm",Ngày 14 tháng 5 năm 2021,Tín chấp,,23500000000.0,,,
Công ty Khánh Hà,Bên liên quan > Công ty Khánh Hà,Công ty Khánh Hà,Công ty con,4.780.000.000,8%/năm,Ngày 26 tháng 6 năm 2021,Tín chấp,,4780000000.0,,,
,,,,28.280.000.000,,,,,28280000000.0,,,
