row_label_raw,row_label_full,Công ty Agrita – Quảng Nam,Công ty con,Phải trả lãi vay,1.299.452.055,4.919.616.439,numeric__Công ty con,numeric__Phải trả lãi vay,numeric__1.299.452.055,numeric__4.919.616.439
Công ty Minh Long,Công ty Minh Long,Công ty Minh Long,Công ty con,Phải trả lãi vay,7.127.790.136,3.018.044.931,,,7127790136.0,3018044931.0
Công ty 756,Công ty 756,Công ty 756,Công ty con,Phải trả lãi vay,2.773.682.720,502.590.658,,,2773682720.0,502590658.0
Sài Gòn,Sài Gòn,Sài Gòn,,Phải trả phí sử dụng vốn,67.767.491.000,,,,67767491000.0,
Công ty Za Hưng,Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải trả lãi vay,-,2.382.608.220,,,,2382608220.0
Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Phải trả lãi vay,-,1.181.895.890,,,,1181895890.0
Công ty Cổ phần Đầu tư IP Việt Nam,Công ty Cổ phần Đầu tư IP Việt Nam,Công ty Cổ phần Đầu tư IP Việt Nam,Công ty có chung thành viên HĐQT,Phải trả lãi vay,-,1.974.230.137,,,,1974230137.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phải trả lãi vay,671.410.958,440.852.053,,,671410958.0,440852053.0
Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Phải trả lãi vay,13.854.493.151,-,,,13854493151.0,
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải trả lãi vay,184.383.561,-,,,184383561.0,
Nguyễn Hữu Vinh,Nguyễn Hữu Vinh,Nguyễn Hữu Vinh,Thành viên HĐQT,Phải trả lãi vay,-,95.835.616,,,,95835616.0
Nguyễn Trọng Minh,Nguyễn Trọng Minh,Nguyễn Trọng Minh,Phó chủ tịch HĐQT,Phải trả lãi vay,-,216.986.301,,,,216986301.0
