row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Bất động sảnđầu tư khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Bất động sảnđầu tư khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,355.654.156.614,94.454.149.752,450.108.306.366,355654156614.0,94454149752.0,450108306366.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,217.290.049.986,90.796.122.558,308.086.172.544,217290049986.0,90796122558.0,308086172544.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,572.944.206.600,185.250.272.310,758.194.478.910,572944206600.0,185250272310.0,758194478910.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,3.135.792.727,-,3.135.792.727,3135792727.0,,3135792727.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,70.121.835.709,51.564.807.682,121.686.643.391,70121835709.0,51564807682.0,121686643391.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,22.772.356.470,800.955.492,23.573.311.962,22772356470.0,800955492.0,23573311962.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,92.894.192.179,52.365.763.174,145.259.955.353,92894192179.0,52365763174.0,145259955353.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,285.532.320.905,42.889.342.070,328.421.662.975,285532320905.0,42889342070.0,328421662975.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,480.050.014.421,132.884.509.136,612.934.523.557,480050014421.0,132884509136.0,612934523557.0
