row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả góp vốn theo các BCC,Dài hạn > Phải trả góp vốn theo các BCC,Phải trả góp vốn theo các BCC,-,750.000.000.000,,750000000000.0
Dư án Đầu tư Giai đoạn 1 Xây dựng Khuđô thị mới bản Noọng Tha tại Thủ đô Viên,Dài hạn > Dư án Đầu tư Giai đoạn 1 Xây dựng Khuđô thị mới bản Noọng Tha tại Thủ đô Viên,Dư án Đầu tư Giai đoạn 1 Xây dựng Khuđô thị mới bản Noọng Tha tại Thủ đô Viên,-,500.000.000.000,,500000000000.0
Chăn nước CHDCND Lào,Dài hạn > Chăn nước CHDCND Lào,Chăn nước CHDCND Lào,-,250.000.000.000,,250000000000.0
Dư án An Khánh - An Thượng,Dư án An Khánh - An Thượng,Dư án An Khánh - An Thượng,-,,,
Phải trả phí quản lý vận hành dự án AnKhánh - An Thượng,Dư án An Khánh - An Thượng > Phải trả phí quản lý vận hành dự án AnKhánh - An Thượng,Phải trả phí quản lý vận hành dự án AnKhánh - An Thượng,6.874.066.080,-,6874066080.0,
Nhận đặt cọc cho thuê,Dư án An Khánh - An Thượng > Nhận đặt cọc cho thuê,Nhận đặt cọc cho thuê,26.739.138.621,22.161.322.344,26739138621.0,22161322344.0
TỔNG CỘNG,Dư án An Khánh - An Thượng > TỔNG CỘNG,TỔNG CỘNG,33.613.204.701,772.161.322.344,33613204701.0,772161322344.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn các bên khác,Trong đó: > Phải trả dài hạn các bên khác,Phải trả dài hạn các bên khác,33.613.204.701,22.161.322.344,33613204701.0,22161322344.0
Phải trả dài hạn các bên liên quan(Thuyết minh số 30.2),Trong đó: > Phải trả dài hạn các bên liên quan(Thuyết minh số 30.2),Phải trả dài hạn các bên liên quan(Thuyết minh số 30.2),-,750.000.000.000,,750000000000.0
