row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị văn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị văn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,244.421.955.098,85.056.611.786,10.442.014.909,4.710.845.471,344.631.427.264,244421955098.0,85056611786.0,10442014909.0,4710845471.0,344631427264.0
- Thanh lý,Nguyên giá: > - Thanh lý,- Thanh lý,-,-,(1.113.374.955),-,(1.113.374.955),,,-1113374955.0,,-1113374955.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,244.421.955.098,85.056.611.786,9.328.639.954,4.710.845.471,343.518.052.309,244421955098.0,85056611786.0,9328639954.0,4710845471.0,343518052309.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,10.546.797.195,87.740.736,6.290.199.954,2.367.983.653,19.292.721.538,10546797195.0,87740736.0,6290199954.0,2367983653.0,19292721538.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,40.047.563.976,29.432.369.008,8.286.649.085,3.099.468.845,80.866.050.914,40047563976.0,29432369008.0,8286649085.0,3099468845.0,80866050914.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,8.184.440.476,7.015.705.490,350.794.008,470.136.471,16.021.076.445,8184440476.0,7015705490.0,350794008.0,470136471.0,16021076445.0
- Thanh lý,Giá trị hao mòn lũy kế: > - Thanh lý,- Thanh lý,-,-,(1.113.374.955),-,(1.113.374.955),,,-1113374955.0,,-1113374955.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,48.232.004.452,36.448.074.498,7.524.068.138,3.569.605.316,95.773.752.404,48232004452.0,36448074498.0,7524068138.0,3569605316.0,95773752404.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,204.374.391.122,55.624.242.778,2.155.365.824,1.611.376.626,263.765.376.350,204374391122.0,55624242778.0,2155365824.0,1611376626.0,263765376350.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,196.189.950.646,48.608.537.288,1.804.571.816,1.141.240.155,247.744.299.905,196189950646.0,48608537288.0,1804571816.0,1141240155.0,247744299905.0
