row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong kỳ > Tăng,Số phát sinh trong kỳ > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong kỳ > Tăng,numeric__Số phát sinh trong kỳ > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh số 21.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 21.1),Vay ngân hàng(Thuyết minh số 21.1),59.176.793.297,59.176.793.297,644.399.764.548,231.305.611.085,472.270.946.760,472.270.946.760,59176793297.0,59176793297.0,644399764548.0,231305611085.0,472270946760.0,472270946760.0
Vay đối tượng khác(Thuyết minh số 21.2),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 21.2),Vay đối tượng khác(Thuyết minh số 21.2),253.352.718.807,253.352.718.807,137.003.806.235,325.166.539.559,65.189.985.483,65.189.985.483,253352718807.0,253352718807.0,137003806235.0,325166539559.0,65189985483.0,65189985483.0
Vay các bên liên quan,Vay ngắn hạn > Vay các bên liên quan,Vay các bên liên quan,12.355.000.000,12.355.000.000,7.783.104.350,20.138.104.350,-,-,12355000000.0,12355000000.0,7783104350.0,20138104350.0,,
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.1),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.1),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.1),24.314.641.954,24.314.641.954,43.615.336.632,24.314.641.954,43.615.336.632,43.615.336.632,24314641954.0,24314641954.0,43615336632.0,24314641954.0,43615336632.0,43615336632.0
Vay đối tượng khác dài hạn đến hạn trả,Vay ngắn hạn > Vay đối tượng khác dài hạn đến hạn trả,Vay đối tượng khác dài hạn đến hạn trả,55.473.598.070,55.473.598.070,-,55.473.598.070,-,-,55473598070.0,55473598070.0,,55473598070.0,,
Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 30.2),Vay ngắn hạn > Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 30.2),Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 30.2),-,-,51.950.000.000,-,51.950.000.000,51.950.000.000,,,51950000000.0,,51950000000.0,51950000000.0
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 21.3),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả(Thuyết minh số 21.3),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 21.3),249.537.671.233,249.537.671.233,483.198.817.760,250.000.000.000,482.736.488.993,482.736.488.993,249537671233.0,249537671233.0,483198817760.0,250000000000.0,482736488993.0,482736488993.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,654.210.423.361,654.210.423.361,1.367.950.829.525,906.398.495.018,1.115.762.757.868,1.115.762.757.868,654210423361.0,654210423361.0,1367950829525.0,906398495018.0,1115762757868.0,1115762757868.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 21.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 21.1),Vay ngân hàng(Thuyết minh số 21.1),297.071.587.392,297.071.587.392,222.572.666.189,177.684.978.226,341.959.275.355,341.959.275.355,297071587392.0,297071587392.0,222572666189.0,177684978226.0,341959275355.0,341959275355.0
Vay các bên liên quan(Thuyết minh số 30.2),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 30.2),Vay các bên liên quan(Thuyết minh số 30.2),532.721.837.677,532.721.837.677,1.212.500.000.000,1.515.675.000.000,229.546.837.677,229.546.837.677,532721837677.0,532721837677.0,1212500000000.0,1515675000000.0,229546837677.0,229546837677.0
Trái phiếu(Thuyết minh số 21.3),Vay dài hạn > Trái phiếu(Thuyết minh số 21.3),Trái phiếu(Thuyết minh số 21.3),793.121.677.261,793.121.677.261,216.768.155.940,801.534.125.356,208.355.707.845,208.355.707.845,793121677261.0,793121677261.0,216768155940.0,801534125356.0,208355707845.0,208355707845.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.622.915.102.330,1.622.915.102.330,1.651.840.822.129,2.494.894.103.582,779.861.820.877,779.861.820.877,1622915102330.0,1622915102330.0,1651840822129.0,2494894103582.0,779861820877.0,779861820877.0
