row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Hà Đô 1,"Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty con (đến ngày 2 tháng 6 năm 2021), công ty chung thành viên HĐQT (từ ngày 3 tháng 6 năm 2021)",Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9) > Phải thu lãi cho vay,Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9) > -,Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9) > 2.842.491,"numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty con (đến ngày 2 tháng 6 năm 2021), công ty chung thành viên HĐQT (từ ngày 3 tháng 6 năm 2021)",numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9) > Phải thu lãi cho vay,numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9) > -,numeric__Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9) > 2.842.491
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Lợi nhuận được chia phải thu,37.000.000.000,-,,,37000000000.0,
Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Phải thu lãi cho vay,3.260.801.372,2.820.678.084,,,3260801372.0,2820678084.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu lãi cho vay,665.424.657,665.424.657,,,665424657.0,665424657.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu khoản chỉ hộ,163.032.696,163.032.696,,,163032696.0,163032696.0
Công ty Khánh Hà,Công ty Khánh Hà,Công ty Khánh Hà,Công ty con,Phải thu lãi cho vay,883.761.096,137.709.590,,,883761096.0,137709590.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Thu chỉ hộ,2.853.000.000,2.853.000.000,,,2853000000.0,2853000000.0
Nguyễn Trọng Minh,Nguyễn Trọng Minh,Nguyễn Trọng Minh,Phó chủ tịch HĐQT,Tạm ứng dự án,36.267.000.000,-,,,36267000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,81.093.019.821,6.642.687.518,,,81093019821.0,6642687518.0
Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),,,,
Công ty Hà Đô 1,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Hà Đô 1,Công ty Hà Đô 1,"Công ty con (đến ngày 2 tháng 6 năm 2021), công ty chung thành viên HĐQT (từ ngày 3 tháng 6 năm 2021)",Phải trả phí dịch vụ thi công,12.011.336.597,19.361.922.094,,,12011336597.0,19361922094.0
Công ty Quản lý Hà Đô,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phải trả phí quản lý,1.988.566.542,2.171.926.075,,,1988566542.0,2171926075.0
Công ty Cổ phần Đầu tư An Lạc,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có cùng chung thành viên HĐQT,Phải trả phí dịch vụ thi công,2.019.545.459,2.019.545.459,,,2019545459.0,2019545459.0
Công ty 756 Sài Gòn,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải trả tiền mua sản Thương mại,16.398.795.750,-,,,16398795750.0,
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > TỔNG CỘNG,TỔNG CỘNG,,,32.418.244.348,23.553.393.628,,,32418244348.0,23553393628.0
