row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.456.135.572.613,681.060.253.785,1456135572613.0,681060253785.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu hoạt động kinh doanh bắt động sản,Trong đó: > Doanh thu hoạt động kinh doanh bắt động sản,Doanh thu hoạt động kinh doanh bắt động sản,979.716.124.285,20.506.997.599,979716124285.0,20506997599.0
Doanh thu hoạt động xây lắp,Trong đó: > Doanh thu hoạt động xây lắp,Doanh thu hoạt động xây lắp,248.429.162.018,469.928.251.983,248429162018.0,469928251983.0
Doanh thu hoạt động kinh doanh khách sạn,Trong đó: > Doanh thu hoạt động kinh doanh khách sạn,Doanh thu hoạt động kinh doanh khách sạn,123.197.642.805,82.175.871.238,123197642805.0,82175871238.0
Doanh thu hoạt động cho thuê và các hoạt động khác,Trong đó: > Doanh thu hoạt động cho thuê và các hoạt động khác,Doanh thu hoạt động cho thuê và các hoạt động khác,104.792.643.505,108.449.132.965,104792643505.0,108449132965.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,1.456.135.572.613,681.060.253.785,1456135572613.0,681060253785.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,1.187.678.928.292,200.076.535.341,1187678928292.0,200076535341.0
Doanh thu đối với các bên liên quan(Thuyết minh số 30.1),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 30.1),Doanh thu đối với các bên liên quan(Thuyết minh số 30.1),268.456.644.321,480.983.718.444,268456644321.0,480983718444.0
