row_label_raw,row_label_full,STT > 1,Tên đơn vị > Công ty Agrita - Quảng Nam (i),Số cuối năm > Số lượng cổ phần > 99.729.000,Số cuối năm > Giá trị ghi số > 1.190.305.295.099,Số cuối năm > Giá trị Tỷ lệ vốn năm hợp lý > (*),Số cuối năm > giữ trực tiếp > 95%,Số đầu năm > Số lượng cổ phần > 94.980.000,Số đầu năm > Giá trị ghi số > 1.142.815.295.099,Số đầu năm > Giá trị hợp lý > (*),Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp > 95%,numeric__Tên đơn vị > Công ty Agrita - Quảng Nam (i),numeric__Số cuối năm > Số lượng cổ phần > 99.729.000,numeric__Số cuối năm > Giá trị ghi số > 1.190.305.295.099,numeric__Số cuối năm > Giá trị Tỷ lệ vốn năm hợp lý > (*),numeric__Số cuối năm > giữ trực tiếp > 95%,numeric__Số đầu năm > Số lượng cổ phần > 94.980.000,numeric__Số đầu năm > Giá trị ghi số > 1.142.815.295.099,numeric__Số đầu năm > Giá trị hợp lý > (*),numeric__Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp > 95%
2,2,2,Công ty Năng lượng Hà Đô (ii),112.460.000,1.124.600.000.000,(*),100%,-,-,-,-,,112460000.0,1124600000000.0,,1.0,,,,
3,3,3,Công ty Bình An Riverside,61.182.000,592.299.000.000,(*),99%,61.182.000,592.299.000.000,(*),99%,,61182000.0,592299000000.0,,0.99,61182000.0,592299000000.0,,0.99
4,4,4,Công ty Minh Long,32.304.778,417.218.779.435,(*),73%,32.304.778,417.218.779.435,(*),73%,,32304778.0,417218779435.0,,0.73,32304778.0,417218779435.0,,0.73
5,5,5,Công ty Za Hưng (iii),57.461.621,371.629.000.000,(*),52%,49.966.631,371.629.000.000,(*),52%,,57461621.0,371629000000.0,,0.52,49966631.0,371629000000.0,,0.52
6,6,6,Công ty Quốc tế Hà Đô (iv),(**),356.563.049.362,(*),100%,(**),352.027.049.362,(*),100%,,,356563049362.0,,1.0,,352027049362.0,,1.0
7,7,7,Công ty 756 Sài Gòn,28.350.000,283.500.000.000,(*),89%,28.350.000,283.500.000.000,(*),89%,,28350000.0,283500000000.0,,0.89,28350000.0,283500000000.0,,0.89
8,8,8,Công ty Thiết Bj Giáo Dục 1 (v),42.319.074,662.996.747.322,(*),100%,1.614.073,183.042.697.322,(*),"68,7%",,42319074.0,662996747322.0,,1.0,1614073.0,183042697322.0,,0.687
9,9,9,Công ty Khánh Hà,18.439.089,196.842.885.000,(*),71%,18.439.089,196.842.885.000,(*),71%,,18439089.0,196842885000.0,,0.71,18439089.0,196842885000.0,,0.71
10,10,10,Công ty Sông Tranh 4 (vi),15.222.684,157.994.654.400,(*),34%,13.522.684,140.994.654.400,(*),34%,,15222684.0,157994654400.0,,0.34,13522684.0,140994654400.0,,0.34
11,11,11,Công ty Quản lý Hà Đô (vii),(**),13.372.043.169,(*),100%,(**),1.057.111.908,(*),100%,,,13372043169.0,,1.0,,1057111908.0,,1.0
12,12,12,Công ty Hà Đô Ninh Thuận (viii),(**),2.148.000.000,(*),100%,(**),7.040.000.000,(*),100%,,,2148000000.0,,1.0,,7040000000.0,,1.0
13,13,13,Công ty Surya (ii),-,-,-,100%,(**),370.731.265.000,(*),100%,,,,,1.0,,370731265000.0,,1.0
14,14,14,Công ty Hà Đô Thuận Nam (ii),-,-,-,100%,(**),253.020.000.000,(*),100%,,,,,1.0,,253020000000.0,,1.0
15,15,15,Công ty Hà Đô Bình Thuận (ii),-,-,-,76%,(**),241.680.000.000,(*),76%,,,,,0.76,,241680000000.0,,0.76
16,16,16,Công ty Hà Đô 1 (ix),-,-,-,51%,2.561.323,23.382.120.000,(*),51%,,,,,0.51,2561323.0,23382120000.0,,0.51
17,17,17,Công ty Hà Đô Mee (x),-,-,-,51%,1.025.000,3.570.000.000,(*),51%,,,,,0.51,1025000.0,3570000000.0,,0.51
,,,TỔNG CỘNG,,5.369.469.453.787,,,,4.580.849.857.526,,,,,5369469453787.0,,,,4580849857526.0,,
,,,Dự phòng đầu tư vào công ty con,,10.329.842.103,,,,9.258.048.847,,,,,10329842103.0,,,,9258048847.0,,
