row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công ty Hà Đô 45 (i),Ngắn hạn > Công ty Hà Đô 45 (i),Công ty Hà Đô 45 (i),56.299.901.708,51.712.628.583,56299901708.0,51712628583.0
Công ty Khánh Hà,Ngắn hạn > Công ty Khánh Hà,Công ty Khánh Hà,-,4.780.000.000,,4780000000.0
Công ty Thiết bị Giáo dục 1,Ngắn hạn > Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,-,23.500.000.000,,23500000000.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,56.299.901.708,79.992.628.583,56299901708.0,79992628583.0
Dự phòng cho vay ngắn hạn khó đòi,Ngắn hạn > Dự phòng cho vay ngắn hạn khó đòi,Dự phòng cho vay ngắn hạn khó đòi,(56.299.901.708),(15.513.788.656),-56299901708.0,-15513788656.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu về cho vay ngắn hạn đối tượng khác,Trong đó: > Phải thu về cho vay ngắn hạn đối tượng khác,Phải thu về cho vay ngắn hạn đối tượng khác,56.299.901.708,51.712.628.583,56299901708.0,51712628583.0
Phải thu về cho vay ngắn hạn với bên liên quan(Thuyết minh số 30.3),Trong đó: > Phải thu về cho vay ngắn hạn với bên liên quan(Thuyết minh số 30.3),Phải thu về cho vay ngắn hạn với bên liên quan(Thuyết minh số 30.3),-,28.280.000.000,,28280000000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Công ty Khánh Hà,Dài hạn > Công ty Khánh Hà,Công ty Khánh Hà,10.900.000.000,-,10900000000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,10.900.000.000,-,10900000000.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu về cho vay dài hạn đối tượng khác,Phải thu về cho vay dài hạn đối tượng khác,Phải thu về cho vay dài hạn đối tượng khác,-,-,,
Phải thu về cho vay dài hạn với bên liên quan(Thuyết minh số 30.2),Phải thu về cho vay dài hạn đối tượng khác > Phải thu về cho vay dài hạn với bên liên quan(Thuyết minh số 30.2),Phải thu về cho vay dài hạn với bên liên quan(Thuyết minh số 30.2),10.900.000.000,-,10900000000.0,
