row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả về dòng tiền quản lý tập trung (i),Ngắn hạn > Phải trả về dòng tiền quản lý tập trung (i),Phải trả về dòng tiền quản lý tập trung (i),220.686.223.347,196.258.430,220686223347.0,196258430.0
Nhận tạm ứng từ công ty con,Ngắn hạn > Nhận tạm ứng từ công ty con,Nhận tạm ứng từ công ty con,34.000.000.000,-,34000000000.0,
Phải trả tiền hỗ trợ chuyển giao mặt bằng dự án An Khánh - An Thương (ii),Ngắn hạn > Phải trả tiền hỗ trợ chuyển giao mặt bằng dự án An Khánh - An Thương (ii),Phải trả tiền hỗ trợ chuyển giao mặt bằng dự án An Khánh - An Thương (ii),20.630.454.546,20.630.454.546,20630454546.0,20630454546.0
Thu hộ phải trả,Ngắn hạn > Thu hộ phải trả,Thu hộ phải trả,12.715.464.461,12.715.464.471,12715464461.0,12715464471.0
Nhận tiền cho mục đích chuyển nhượng bất động sản,Ngắn hạn > Nhận tiền cho mục đích chuyển nhượng bất động sản,Nhận tiền cho mục đích chuyển nhượng bất động sản,12.790.733.601,18.400.000.000,12790733601.0,18400000000.0
Phải trả lợi nhuận chia sẻ theo BCC (iii),Ngắn hạn > Phải trả lợi nhuận chia sẻ theo BCC (iii),Phải trả lợi nhuận chia sẻ theo BCC (iii),6.792.700.280,5.875.000.280,6792700280.0,5875000280.0
Phải trả cổ tức,Ngắn hạn > Phải trả cổ tức,Phải trả cổ tức,-,154.381.174.675,,154381174675.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,7.702.121.568,7.694.202.510,7702121568.0,7694202510.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,315.317.697.803,219.892.554.912,315317697803.0,219892554912.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,60.091.847.284,219.245.558.431,60091847284.0,219245558431.0
Phải trả ngắn hạn các bên liên quan(Thuyết minh số 30.2),Trong đó: > Phải trả ngắn hạn các bên liên quan(Thuyết minh số 30.2),Phải trả ngắn hạn các bên liên quan(Thuyết minh số 30.2),255.225.850.519,646.996.481,255225850519.0,646996481.0
