row_label_raw,row_label_full,Bên liên quan > Công ty Hà Đô 1 > Công ty Hà Đô Mee,"Mối quan hệ > Công ty con (đến ngày 2 tháng 6 năm 2021), công ty chung thành viên HĐQT (từ ngày 3 tháng 6 năm 2021) > Công ty con (đến ngày 31 tháng 5 năm 2021)",Nội dung nghiệp vụ > Phí dịch vụ thi công đã trả > Phí dịch vụ thi công phải trả > Doanh thu cung cấp dịch vụ > Thu tiền phí tư vấn quản lý > Cổ tức được chia > Phí dịch vụ thi công > Phí dịch vụ thi công đã trả > Cổ tức phải thu > Tạm ứng cung cấp dịch vụ,Đơn vị tính: VND > Năm nay > 280.108.267.106 > 272.757.681.609 > 425.414.192 > 3.663.841.264 > - > 156.006.000 > 148.205.700 > - > 1.141.908.300,Đơn vị tính: VND > Năm trước > 157.726.317.986 > 141.091.311.382 > 3.034.534.535 > - > 2.561.323.000 > 2.889.180.000 > 2.904.249.089 > 1.021.020.000 > -,"numeric__Mối quan hệ > Công ty con (đến ngày 2 tháng 6 năm 2021), công ty chung thành viên HĐQT (từ ngày 3 tháng 6 năm 2021) > Công ty con (đến ngày 31 tháng 5 năm 2021)",numeric__Nội dung nghiệp vụ > Phí dịch vụ thi công đã trả > Phí dịch vụ thi công phải trả > Doanh thu cung cấp dịch vụ > Thu tiền phí tư vấn quản lý > Cổ tức được chia > Phí dịch vụ thi công > Phí dịch vụ thi công đã trả > Cổ tức phải thu > Tạm ứng cung cấp dịch vụ,numeric__Đơn vị tính: VND > Năm nay > 280.108.267.106 > 272.757.681.609 > 425.414.192 > 3.663.841.264 > - > 156.006.000 > 148.205.700 > - > 1.141.908.300,numeric__Đơn vị tính: VND > Năm trước > 157.726.317.986 > 141.091.311.382 > 3.034.534.535 > - > 2.561.323.000 > 2.889.180.000 > 2.904.249.089 > 1.021.020.000 > -
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Cổ tức đã thu,5.820.922.397,9.535.983.051,,,5820922397.0,9535983051.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Cổ tức phải thu,10.320.922.397,-,,,10320922397.0,
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,3.078.051.706,3.145.883.962,,,3078051706.0,3145883962.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Đi vay,16.000.000.000,7.500.000.000,,,16000000000.0,7500000000.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phí dịch vụ quản lý,18.822.469.692,19.140.325.041,,,18822469692.0,19140325041.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phí dịch vụ quản lý đã trả,20.036.866.647,19.911.537.887,,,20036866647.0,19911537887.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Bù trừ cổ tức với khoản vay,6.500.000.000,5.000.000.000,,,6500000000.0,5000000000.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Doanh thu xây lắp,20.736.341.058,458.551.952.965,,,20736341058.0,458551952965.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Tiền thu từ xây lắp,13.469.906.424,525.795.365.601,,,13469906424.0,525795365601.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Góp vốn,-,366.585.012.000,,,,366585012000.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Nhận tạm ứng,34.000.000.000,-,,,34000000000.0,
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Cho vay,9.000.000.000,25.000.000.000,,,9000000000.0,25000000000.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Thu hồi tiền cho vay,9.000.000.000,-,,,9000000000.0,
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Doanh thu tư vấn quản lý,1.626.444.075,-,,,1626444075.0,
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Đi vay,48.000.000.000,-,,,48000000000.0,
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Trả tiền gốc vay,10.000.000.000,-,,,10000000000.0,
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Cổ tức phải thu,139.403.159.131,-,,,139403159131.0,
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Cổ tức đã thu,102.403.159.131,-,,,102403159131.0,
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Doanh thu tư vấn quản lý,1.763.722.242,2.399.120.933,,,1763722242.0,2399120933.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Đã thu phí tư vấn quản lý,2.257.133.027,5.260.904.543,,,2257133027.0,5260904543.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Dòng tiền quản lý tập trung phải trả,117.107.328.195,-,,,117107328195.0,
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Dòng tiền quản lý tập trung đã trả,116.666.918.515,-,,,116666918515.0,
