row_label_raw,row_label_full,col_0,Kinh doanhbắt động sản,Kinh doanhdịch vụ khách sạn,Hoạt động xây lắp,Hoạt động cho thuêvà các hoạt độngkhác,Điều chínhvà loại trừ,Đơn vị tính: VND,numeric__Kinh doanhbắt động sản,numeric__Kinh doanhdịch vụ khách sạn,numeric__Hoạt động xây lắp,numeric__Hoạt động cho thuêvà các hoạt độngkhác,numeric__Điều chínhvà loại trừ,numeric__Đơn vị tính: VND
Doanh thu,Doanh thu,Doanh thu,20.506.997.599,82.175.871.238,469.928.251.983,108.449.132.965,-,681.060.253.785,20506997599.0,82175871238.0,469928251983.0,108449132965.0,,681060253785.0
Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,20.506.997.599,82.175.871.238,469.928.251.983,108.449.132.965,-,681.060.253.785,20506997599.0,82175871238.0,469928251983.0,108449132965.0,,681060253785.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,20.506.997.599,82.175.871.238,469.928.251.983,108.449.132.965,-,681.060.253.785,20506997599.0,82175871238.0,469928251983.0,108449132965.0,,681060253785.0
Kết quả,Kết quả,Kết quả,,,,,,,,,,,,
Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,Kết quả > Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,(40.560.856.751),39.064.682.389,12.676.457.686,64.560.585.845,-,75.740.869.169,-40560856751.0,39064682389.0,12676457686.0,64560585845.0,,75740869169.0
Thu nhập/(chi phí) khôngphân bổ (i),Kết quả > Thu nhập/(chi phí) khôngphân bổ (i),Thu nhập/(chi phí) khôngphân bổ (i),,,,,1.064.674.553.788,1.064.674.553.788,,,,,1064674553788.0,1064674553788.0
Lợi nhuận trước thuếChi phí thuế TNDN,Kết quả > Lợi nhuận trước thuếChi phí thuế TNDN,Lợi nhuận trước thuếChi phí thuế TNDN,(43.745.006.065),26.163.912.848,(61.132.700.578),47.535.183.495,1.064.674.553.788,1.033.495.943.488,-43745006065.0,26163912848.0,-61132700578.0,47535183495.0,1064674553788.0,1033495943488.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,(43.745.006.065),26.163.912.848,(61.132.700.578),47.535.183.495,1.064.674.553.788,1.033.495.943.488,-43745006065.0,26163912848.0,-61132700578.0,47535183495.0,1064674553788.0,1033495943488.0
Tài sản và công nợ tạingày 31 tháng 12 năm2019,Tài sản và công nợ tạingày 31 tháng 12 năm2019,Tài sản và công nợ tạingày 31 tháng 12 năm2019,,,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ tạingày 31 tháng 12 năm2019 > Tài sản bộ phận,Tài sản bộ phận,818.501.347.677,262.600.533.298,194.541.014.799,359.861.493.420,-,1.635.504.389.194,818501347677.0,262600533298.0,194541014799.0,359861493420.0,,1635504389194.0
Tài sản không phân bổ (ii),Tài sản và công nợ tạingày 31 tháng 12 năm2019 > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,5.062.900.598.131,5.062.900.598.131,,,,,5062900598131.0,5062900598131.0
Tổng tài sản,Tài sản và công nợ tạingày 31 tháng 12 năm2019 > Tổng tài sản,Tổng tài sản,818.501.347.677,262.600.533.298,194.541.014.799,359.861.493.420,5.062.900.598.131,6.698.404.987.325,818501347677.0,262600533298.0,194541014799.0,359861493420.0,5062900598131.0,6698404987325.0
Công nợ bộ phận,Tài sản và công nợ tạingày 31 tháng 12 năm2019 > Công nợ bộ phận,Công nợ bộ phận,1.309.509.600.610,12.116.024.321,61.449.082.961,15.360.073.526,-,1.398.434.781.418,1309509600610.0,12116024321.0,61449082961.0,15360073526.0,,1398434781418.0
Công nợ không phân bổ (iii),Tài sản và công nợ tạingày 31 tháng 12 năm2019 > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,,2.602.838.938.493,2.602.838.938.493,,,,,2602838938493.0,2602838938493.0
Tổng công nợ,Tài sản và công nợ tạingày 31 tháng 12 năm2019 > Tổng công nợ,Tổng công nợ,1.309.509.600.610,12.116.024.321,61.449.082.961,15.360.073.526,2.602.838.938.493,4.001.273.719.911,1309509600610.0,12116024321.0,61449082961.0,15360073526.0,2602838938493.0,4001273719911.0
