row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Tổng lợi nhuận kế toán trước thuế:,Tổng lợi nhuận kế toán trước thuế:,Tổng lợi nhuận kế toán trước thuế:,1.238.028.671.038,1.033.495.943.488,1238028671038.0,1033495943488.0
Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,247.605.734.208,206.699.188.698,247605734208.0,206699188698.0
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,,,,
Chi phí tiền đất dự án chưa đủ điều kiện khấu trừ,Các khoản điều chỉnh tăng: > Chi phí tiền đất dự án chưa đủ điều kiện khấu trừ,Chi phí tiền đất dự án chưa đủ điều kiện khấu trừ,10.498.104.969,9.292.022.246,10498104969.0,9292022246.0
Chi phí trích lập dự phòng,Các khoản điều chỉnh tăng: > Chi phí trích lập dự phòng,Chi phí trích lập dự phòng,6.672.117.347,1.143.681.201,6672117347.0,1143681201.0
Chi phí lãi vay trích trước liên quan đến trái phiếu chuyển đổi để thực hiện quyền của chứng quyền,Các khoản điều chỉnh tăng: > Chi phí lãi vay trích trước liên quan đến trái phiếu chuyển đổi để thực hiện quyền của chứng quyền,Chi phí lãi vay trích trước liên quan đến trái phiếu chuyển đổi để thực hiện quyền của chứng quyền,8.477.331.529,-,8477331529.0,
Các chỉ phí không được trừ khác,Các khoản điều chỉnh tăng: > Các chỉ phí không được trừ khác,Các chỉ phí không được trừ khác,2.227.935.997,2.046.798.476,2227935997.0,2046798476.0
Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,Các khoản điều chỉnh tăng: > Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,1.146.237.751,32.743.855.789,1146237751.0,32743855789.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,,,
"Thu nhập từ cổ tức, lợi nhuận được chia","Các khoản điều chỉnh giảm: > Thu nhập từ cổ tức, lợi nhuận được chia","Thu nhập từ cổ tức, lợi nhuận được chia",(157.982.642.906),(251.925.546.410),-157982642906.0,-251925546410.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh giảm: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(42.910.542),-,-42910542.0,
Tài sản thuế thu nhập hoãn lại liên quan đến chi phí sử dụng vốn chưa được khấu trừ,Các khoản điều chỉnh giảm: > Tài sản thuế thu nhập hoãn lại liên quan đến chi phí sử dụng vốn chưa được khấu trừ,Tài sản thuế thu nhập hoãn lại liên quan đến chi phí sử dụng vốn chưa được khấu trừ,(2.000.000.000),-,-2000000000.0,
Thu nhập đã tính thuế các năm trước,Các khoản điều chỉnh giảm: > Thu nhập đã tính thuế các năm trước,Thu nhập đã tính thuế các năm trước,(1.209.225.707),-,-1209225707.0,
Chi phí thuế TNDN,Các khoản điều chỉnh giảm: > Chi phí thuế TNDN,Chi phí thuế TNDN,115.392.682.646,-,115392682646.0,
