row_label_raw,row_label_full,Bên cho vay > Ngân hàng TNHH MTV Woori Việt Nam - Hội sở chính > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh > Ngân hàng Shinhan – Chi nhánh Trần Duy Hưng,Số cuối năm (VND) > 339.000.000.000 > 131.990.105.167 > 1.280.841.593,"Kỳ hạn trả gốc và lãi > Gốc trả 1 lần vào ngày đáo hạn là 27 tháng 12 năm 2022, lãi trả 1 tháng/lần > Gốc trả từ ngày 8 tháng 3 năm 2022 đến ngày 15 tháng 8 năm 2022, lãi trả 1 tháng/lần > Gốc trả 1 lần vào ngày đáo hạn là 15 tháng 4 năm 2022, lãi trả 1 tháng/lần","Lãi suất > Lãi suất tham chiếu ( lãi suất 1 tháng bình quân của 4 ngân hàng BIDV, Agribank, Vietibank, VCB) cộng biên độ 0,8%/năm, không vượt quá 5,2%/năm > 5,5%/năm > Lãi suất tham chiếu cộng biên độ 0,61%/năm",Hình thức đảm bảo > Khoản ký quỹ 100% hạn mức vay tại ngân hàng thuộc sở hữu của một công ty con > Tín chấp > (ii),numeric__Số cuối năm (VND) > 339.000.000.000 > 131.990.105.167 > 1.280.841.593,"numeric__Kỳ hạn trả gốc và lãi > Gốc trả 1 lần vào ngày đáo hạn là 27 tháng 12 năm 2022, lãi trả 1 tháng/lần > Gốc trả từ ngày 8 tháng 3 năm 2022 đến ngày 15 tháng 8 năm 2022, lãi trả 1 tháng/lần > Gốc trả 1 lần vào ngày đáo hạn là 15 tháng 4 năm 2022, lãi trả 1 tháng/lần","numeric__Lãi suất > Lãi suất tham chiếu ( lãi suất 1 tháng bình quân của 4 ngân hàng BIDV, Agribank, Vietibank, VCB) cộng biên độ 0,8%/năm, không vượt quá 5,2%/năm > 5,5%/năm > Lãi suất tham chiếu cộng biên độ 0,61%/năm",numeric__Hình thức đảm bảo > Khoản ký quỹ 100% hạn mức vay tại ngân hàng thuộc sở hữu của một công ty con > Tín chấp > (ii)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,472.270.946.760,,,,472270946760.0,,,
Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối năm (VND),Kỳ hạn trả gốc và lãi,Lãi suất,Hình thức đảm bảo,,,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,167.497.928.820,"Gốc trả theo lịch trả nợ ngày đáo hạn cuối cùng 18/11/2023, lãi trả 1 tháng/lần","Lãi suất 7,5%/năm áp dụng từ ngày 29 tháng 10 năm 2021 đến hết thời hạn vay",(i),167497928820.0,,,
Ngân hàng Shinhan – Chi nhánh Trần Duy Hưng,Bên cho vay > Ngân hàng Shinhan – Chi nhánh Trần Duy Hưng,Ngân hàng Shinhan – Chi nhánh Trần Duy Hưng,218.076.683.167,"Gốc đáo hạn từ ngày 26 tháng 1 năm 2022 đến ngày 7 tháng 10 năm 2026, lãi trả 1 tháng/lần","Lãi suất tham chiếu cộng biên độ 2,31%/năm",(ii),218076683167.0,,,
Trong đó:Vay dài hạn đến hạn trả,Bên cho vay > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,(43.615.336.632),,,,-43615336632.0,,,
TỔNG CỘNG,Bên cho vay > TỔNG CỘNG,TỔNG CỘNG,341.959.275.355,,,,341959275355.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,385.574.611.987(43.615.336.632),,,,,,,
