row_label_raw,row_label_full,Công ty Hà Đô Thuận Nam,Công ty con,Phải thu cung cấp dịch vụ xây lắp > Phải thu phí quản lý,21.684.828.262 > 292.049.052,-,numeric__Công ty con,numeric__Phải thu cung cấp dịch vụ xây lắp > Phải thu phí quản lý,numeric__21.684.828.262 > 292.049.052,numeric__-
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải thu phí tư vấn,1.429.089.324,8.140.488.057,,,1429089324.0,8140488057.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Phải thu phí quản lý,5.110.892.354,4.860.009.854,,,5110892354.0,4860009854.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Phải thu chuyển nhượng cổ phần,-,69.954.050.000,,,,69954050000.0
Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty con,Phải thu phí quản lý,5.394.218.953,5.337.040.528,,,5394218953.0,5337040528.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,"Công ty con (đến ngày 2 tháng 6 năm 2021), công ty chung thành viên HĐQT (từ ngày 3 tháng 6 năm 2021)",Phải thu cung cấp dịch vụ cho thuê,458.939.376,-,,,458939376.0,
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,"Công ty con (đến ngày 2 tháng 6 năm 2021), công ty chung thành viên HĐQT (từ ngày 3 tháng 6 năm 2021)",Phải thu phí quản lý,739.793.735,4.307.406.906,,,739793735.0,4307406906.0
Công ty Za Hưng,Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải thu phí quản lý,2.105.488.789,3.391.241.230,,,2105488789.0,3391241230.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Phải thu phí quản lý,1.940.094.466,2.257.133.027,,,1940094466.0,2257133027.0
Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty con,Phải thu phí quản lý,2.368.653.800,2.900.300.604,,,2368653800.0,2900300604.0
Các công ty con khác,Các công ty con khác,Các công ty con khác,Công ty con,Phải thu phí quản lý,1.063.821.834,2.360.643.594,,,1063821834.0,2360643594.0
Các cá nhân khác,Các cá nhân khác,Các cá nhân khác,Bên liên quan khác,Phải thu tiền mua bất động sản,468.623.000,-,,,468623000.0,
