row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Số đầu năm,Vốn cổ phần đã phát hành > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 1.186.812.890.000,Thặng dư vốn cổ phần > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > (171.550.000),Cổ phiếu quỹ > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > (326.270.000),Quỹ đầu tư phát triển > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 23.516.835.886,Lợi nhuận sau thuế chưa phân phối > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 607.192.624.040,Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 1.817.024.529.926,numeric__Vốn cổ phần đã phát hành > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 1.186.812.890.000,numeric__Thặng dư vốn cổ phần > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > (171.550.000),numeric__Cổ phiếu quỹ > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > (326.270.000),numeric__Quỹ đầu tư phát triển > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 23.516.835.886,numeric__Lợi nhuận sau thuế chưa phân phối > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 607.192.624.040,numeric__Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 1.817.024.529.926
- Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,355.937.290.000,-,-,-,(355.937.290.000),-,355937290000.0,,,,-355937290000.0,
- Tạm ứng cổ tức,- Tạm ứng cổ tức,- Tạm ứng cổ tức,-,-,-,-,(154.275.018.000),(154.275.018.000),,,,,-154275018000.0,-154275018000.0
- Tài phát hành cổ phiếu quỹ,- Tài phát hành cổ phiếu quỹ,- Tài phát hành cổ phiếu quỹ,-,559.542.000,326.270.000,-,-,885.812.000,,559542000.0,326270000.0,,,885812000.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,1.033.495.943.488,1.033.495.943.488,,,,,1033495943488.0,1033495943488.0
Số cuối năm,Số cuối năm,Số cuối năm,1.542.750.180.000,387.992.000,-,23.516.835.886,1.130.476.259.528,2.697.131.267.414,1542750180000.0,387992000.0,,23516835886.0,1130476259528.0,2697131267414.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Số đầu năm,Số đầu năm,1.542.750.180.000,387.992.000,-,23.516.835.886,1.130.476.259.528,2.697.131.267.414,1542750180000.0,387992000.0,,23516835886.0,1130476259528.0,2697131267414.0
- Phát hành cổ phiếu trả cổ tức (i),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > - Phát hành cổ phiếu trả cổ tức (i),- Phát hành cổ phiếu trả cổ tức (i),327.256.970.000,-,-,-,(327.256.970.000),-,327256970000.0,,,,-327256970000.0,
- Phát hành cổ phiếu đề thực hiện quyền của chứng quyền (ii),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > - Phát hành cổ phiếu đề thực hiện quyền của chứng quyền (ii),- Phát hành cổ phiếu đề thực hiện quyền của chứng quyền (ii),93.567.000.000,228.718.872.127,-,-,-,322.285.872.127,93567000000.0,228718872127.0,,,,322285872127.0
- Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,1.122.635.988.392,1.122.635.988.392,,,,,1122635988392.0,1122635988392.0
"- Trích quỹ khen thưởng, phúc lợi (iii)","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > - Trích quỹ khen thưởng, phúc lợi (iii)","- Trích quỹ khen thưởng, phúc lợi (iii)",-,-,-,-,(20.670.000.000),(20.670.000.000),,,,,-20670000000.0,-20670000000.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Số cuối năm,Số cuối năm,1.963.574.150.000,229.106.864.127,-,23.516.835.886,1.905.185.277.920,4.121.383.127.933,1963574150000.0,229106864127.0,,23516835886.0,1905185277920.0,4121383127933.0
