row_label_raw,row_label_full,Công ty Hà ĐôThuận Nam,Công ty con,Trả trước tiền mua hàng hóa,-,30.577.059.000,numeric__Công ty con,numeric__Trả trước tiền mua hàng hóa,numeric__-,numeric__30.577.059.000
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Trả trước tiền mua hàng hóa,11.177.775.039,21.800.217.343,,,11177775039.0,21800217343.0
Các cá nhân khác,Các cá nhân khác,Các cá nhân khác,Bên liên quan khác,Trả trước tiền mua bất động sản,16.443.525.000,2.780.000.000,,,16443525000.0,2780000000.0
