row_label_raw,row_label_full,col_0,col_1,31/12/2018(VND) > Giá trị,31/12/2018(VND) > Dự phòng,01/01/2018(VND) > Giá trị,01/01/2018(VND) > Dự phòng,numeric__col_1,numeric__31/12/2018(VND) > Giá trị,numeric__31/12/2018(VND) > Dự phòng,numeric__01/01/2018(VND) > Giá trị,numeric__01/01/2018(VND) > Dự phòng
a.,a.,a.,Ngắn hạn,547.468.349.562,(55.731.000),433.753.763.707,(55.731.000),,547468349562.0,-55731000.0,433753763707.0,-55731000.0
a.,a.,a.,Phải thu về lãi cho vay,526.418.340.343,-,411.449.178.795,-,,526418340343.0,,411449178795.0,
a.,a.,a.,Phải thu khác (i),21.050.009.219,(55.731.000),22.304.584.912,(55.731.000),,21050009219.0,-55731000.0,22304584912.0,-55731000.0
b.,b.,b.,Dài hạn,965.552.378,-,965.552.378,-,,965552378.0,,965552378.0,
b.,b.,b.,"Ký cược, ký quỹ",965.552.378,-,965.552.378,-,,965552378.0,,965552378.0,
b.,b.,b.,Cộng,548.433.901.940,(55.731.000),434.719.316.085,(55.731.000),,548433901940.0,-55731000.0,434719316085.0,-55731000.0
