row_label_raw,row_label_full,col_0,col_1,01/01/2018(VND) > Giá trị,01/01/2018(VND) > Khả năngtrà nợ,31/12/2018(VND) > Giá trị,31/12/2018(VND) > Khả năngtrà nợ,numeric__col_1,numeric__01/01/2018(VND) > Giá trị,numeric__01/01/2018(VND) > Khả năngtrà nợ,numeric__31/12/2018(VND) > Giá trị,numeric__31/12/2018(VND) > Khả năngtrà nợ
c.,c.,c.,Phân loại gốc vay nợ dài hạn đến hạn trả tại thời điểm lập BCTC,2.087.671.905.826,2.087.671.905.826,1.932.889.334.586,1.932.889.334.586,,2087671905826.0,2087671905826.0,1932889334586.0,1932889334586.0
c.,c.,c.,Vay Ngân hàng,554.900.982.059,554.900.982.059,602.667.146.828,602.667.146.828,,554900982059.0,554900982059.0,602667146828.0,602667146828.0
c.,c.,c.,Vay Tập đoàn,1.532.770.923.767,1.532.770.923.767,1.330.222.187.758,1.330.222.187.758,,1532770923767.0,1532770923767.0,1330222187758.0,1330222187758.0
d.,d.,d.,Số dư tại thời điểm lập BCTC,11.672.071.040.984,11.672.071.040.984,10.484.587.493.602,10.484.587.493.602,,11672071040984.0,11672071040984.0,10484587493602.0,10484587493602.0
d.1,d.1,d.1,Vay và nợ ngắn hạn (d.1 = a + c),2.087.671.905.826,2.087.671.905.826,1.932.889.334.586,1.932.889.334.586,,2087671905826.0,2087671905826.0,1932889334586.0,1932889334586.0
d.2,d.2,d.2,Vay và nợ dài hạn (d.2 = b - c),9.584.399.135.158,9.584.399.135.158,8.551.698.159.016,8.551.698.159.016,,9584399135158.0,9584399135158.0,8551698159016.0,8551698159016.0
(*),(*),(*),Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,Trái phiếu phát hành năm 2018:,,,,,
(*),(*),(*),"Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 tỷ đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/7/2018 và đáo hạn ngày 31/7/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 tỷ đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/7/2018 và đáo hạn ngày 31/7/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 tỷ đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/7/2018 và đáo hạn ngày 31/7/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 tỷ đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/7/2018 và đáo hạn ngày 31/7/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).","Trái phiếu không chuyển đổi có tổng mệnh giá 400.000.000.000 tỷ đồng (bốn trăm tỷ đồng) được đảm bảo bằng tài sản. Phát hành ngày 31/7/2018 và đáo hạn ngày 31/7/2025. Các trái phiếu được phát hành dưới hình thức bút toán ghi số, mỗi trái phiếu có mệnh giá 1.000.000.000 đồng (một tỷ đồng).",,,,,
(*),(*),(*),Trái chủ (Ngân hàng TMCP Tiên Phong) được hưởng lãi kể từ và bao gồm ngày 31 tháng 7 năm 2018 cho đến nhưng không bao gồm ngày 31 tháng 7 năm 2025 (ngày đáo hạn) và được trả 6 tháng 1 lần vào ngày 31/7 và 31/1 hàng năm với mức lãi suất áp dụng như sau:,Trái chủ (Ngân hàng TMCP Tiên Phong) được hưởng lãi kể từ và bao gồm ngày 31 tháng 7 năm 2018 cho đến nhưng không bao gồm ngày 31 tháng 7 năm 2025 (ngày đáo hạn) và được trả 6 tháng 1 lần vào ngày 31/7 và 31/1 hàng năm với mức lãi suất áp dụng như sau:,Trái chủ (Ngân hàng TMCP Tiên Phong) được hưởng lãi kể từ và bao gồm ngày 31 tháng 7 năm 2018 cho đến nhưng không bao gồm ngày 31 tháng 7 năm 2025 (ngày đáo hạn) và được trả 6 tháng 1 lần vào ngày 31/7 và 31/1 hàng năm với mức lãi suất áp dụng như sau:,Trái chủ (Ngân hàng TMCP Tiên Phong) được hưởng lãi kể từ và bao gồm ngày 31 tháng 7 năm 2018 cho đến nhưng không bao gồm ngày 31 tháng 7 năm 2025 (ngày đáo hạn) và được trả 6 tháng 1 lần vào ngày 31/7 và 31/1 hàng năm với mức lãi suất áp dụng như sau:,Trái chủ (Ngân hàng TMCP Tiên Phong) được hưởng lãi kể từ và bao gồm ngày 31 tháng 7 năm 2018 cho đến nhưng không bao gồm ngày 31 tháng 7 năm 2025 (ngày đáo hạn) và được trả 6 tháng 1 lần vào ngày 31/7 và 31/1 hàng năm với mức lãi suất áp dụng như sau:,,,,,
(*),(*),(*),"+ Lãi suất kỳ đầu tiên là 9,8%/năm","+ Lãi suất kỳ đầu tiên là 9,8%/năm","+ Lãi suất kỳ đầu tiên là 9,8%/năm","+ Lãi suất kỳ đầu tiên là 9,8%/năm","+ Lãi suất kỳ đầu tiên là 9,8%/năm",,,,,
