row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2018,Giá trị ghi sổ > 01/01/2018,Giá trị hợp lý > 31/12/2018,Giá trị hợp lý > 01/01/2018,numeric__Giá trị ghi sổ > 31/12/2018,numeric__Giá trị ghi sổ > 01/01/2018,numeric__Giá trị hợp lý > 31/12/2018,numeric__Giá trị hợp lý > 01/01/2018
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,2.401.781.062.858,1.645.417.574.120,2.401.781.062.858,1.645.417.574.120,2401781062858.0,1645417574120.0,2401781062858.0,1645417574120.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,548.433.901.940,434.719.316.085,548.378.170.940,434.663.585.085,548433901940.0,434719316085.0,548378170940.0,434663585085.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,300.087.599.256,91.603.523.920,300.087.599.256,91.603.523.920,300087599256.0,91603523920.0,300087599256.0,91603523920.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,3.250.302.564.054,2.171.740.414.125,3.250.246.833.054,2.171.684.683.125,3250302564054.0,2171740414125.0,3250246833054.0,2171684683125.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,10.484.587.493.602,11.672.071.040.984,10.484.587.493.602,11.672.071.040.984,10484587493602.0,11672071040984.0,10484587493602.0,11672071040984.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,1.284.386.558.567,1.417.134.824.967,1.284.386.558.567,1.417.134.824.967,1284386558567.0,1417134824967.0,1284386558567.0,1417134824967.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,771.384.513.583,35.941.354.237,771.384.513.583,35.941.354.237,771384513583.0,35941354237.0,771384513583.0,35941354237.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,12.540.358.565.752,13.125.147.220.188,12.540.358.565.752,13.125.147.220.188,12540358565752.0,13125147220188.0,12540358565752.0,13125147220188.0
