row_label_raw,row_label_full,gắn hạn
hòng ty CP Nhiệt điện Cẩm Phả - Tk,hòng ty CP Nhiệt điện Cẩm Phả - Tk,hòng ty CP Nhiệt điện Cẩm Phả - Tk
Gốc vay,Gốc vay,Gốc vay
Cho vay dài hạn đến hạn trả,Cho vay dài hạn đến hạn trả,Cho vay dài hạn đến hạn trả
hòng ty CP Than - Điện Nông Sơn,hòng ty CP Than - Điện Nông Sơn,hòng ty CP Than - Điện Nông Sơn
V,V,V
Gốc vay,Gốc vay,Gốc vay
Cho vay dài hạn đến hạn trả,Cho vay dài hạn đến hạn trả,Cho vay dài hạn đến hạn trả
hạn,hạn,hạn
hòng ty CP Nhiệt điện Cẩm Phả - TKV,hòng ty CP Nhiệt điện Cẩm Phả - TKV,hòng ty CP Nhiệt điện Cẩm Phả - TKV
hòng ty CP Than - Điện Nông Sơn,hòng ty CP Than - Điện Nông Sơn,hòng ty CP Than - Điện Nông Sơn
g,g,g
