row_label_raw,row_label_full,col_0,col_1,01/01/2018(VND) > Giá trị,01/01/2018(VND) > Khả năngtrà nợ,Tăng trong năm,Giảm trong năm,31/12/2018(VND) > Giá trị,31/12/2018(VND) > Khả năngtrà nợ,numeric__col_1,numeric__01/01/2018(VND) > Giá trị,numeric__01/01/2018(VND) > Khả năngtrà nợ,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__31/12/2018(VND) > Giá trị,numeric__31/12/2018(VND) > Khả năngtrà nợ
a.,a.,a.,Gốc vay ngắn hạn,-,-,-,-,-,-,,,,,,,
b.,a. > b.,b.,Gốc vay và nợ dài hạn,11.672.071.040.984,11.672.071.040.984,1.020.042.963.901,2.207.526.511.283,10.484.587.493.602,10.484.587.493.602,,11672071040984.0,11672071040984.0,1020042963901.0,2207526511283.0,10484587493602.0,10484587493602.0
b1.,a. > b1.,b1.,Gốc vay dài hạn,11.672.071.040.984,11.672.071.040.984,620.042.963.901,2.207.526.511.283,10.084.587.493.602,10.084.587.493.602,,11672071040984.0,11672071040984.0,620042963901.0,2207526511283.0,10084587493602.0,10084587493602.0
-,a. > -,-,Từ 1 năm đến 5 năm,10.617.927.640,10.617.927.640,12.180.860.000,8.137.535.140,14.661.252.500,14.661.252.500,,10617927640.0,10617927640.0,12180860000.0,8137535140.0,14661252500.0,14661252500.0
-,a. > -,-,Vay ngân hàng,10.617.927.640,10.617.927.640,12.180.860.000,8.137.535.140,14.661.252.500,14.661.252.500,,10617927640.0,10617927640.0,12180860000.0,8137535140.0,14661252500.0,14661252500.0
-,a. > -,-,Trên 5 năm,11.661.453.113.344,11.661.453.113.344,607.862.103.901,2.199.388.976.143,10.069.926.241.102,10.069.926.241.102,,11661453113344.0,11661453113344.0,607862103901.0,2199388976143.0,10069926241102.0,10069926241102.0
-,a. > -,-,Vay ngân hàng,4.307.684.548.739,4.307.684.548.739,422.878.250.000,572.976.409.919,4.157.586.388.820,4.157.586.388.820,,4307684548739.0,4307684548739.0,422878250000.0,572976409919.0,4157586388820.0,4157586388820.0
-,a. > -,-,Vay Tập đoàn,7.353.768.564.605,7.353.768.564.605,184.983.853.901,1.626.412.566.224,5.912.339.852.282,5.912.339.852.282,,7353768564605.0,7353768564605.0,184983853901.0,1626412566224.0,5912339852282.0,5912339852282.0
b2.,a. > b2.,b2.,Gốc nợ dài hạn,-,-,400.000.000.000,-,400.000.000.000,400.000.000.000,,,,400000000000.0,,400000000000.0,400000000000.0
-,a. > -,-,Từ 5 năm đến 10 năm,-,-,400.000.000.000,-,400.000.000.000,400.000.000.000,,,,400000000000.0,,400000000000.0,400000000000.0
-,a. > -,-,Trái phiếu phát hành (*),-,-,400.000.000.000,-,400.000.000.000,400.000.000.000,,,,400000000000.0,,400000000000.0,400000000000.0
-,a. > -,-,Cộng,11.672.071.040.984,11.672.071.040.984,1.020.042.963.901,2.207.526.511.283,10.484.587.493.602,10.484.587.493.602,,11672071040984.0,11672071040984.0,1020042963901.0,2207526511283.0,10484587493602.0,10484587493602.0
