row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND",Phương tiệnvận tảiVND,"Thiết bị, dụng cụquản lýVND",TSCĐ hữuhình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND",numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ hữuhình khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.699.885.928.793,14.611.840.295.809,251.330.807.288,49.011.498.003,259.240.334.436,21.871.308.864.329,6699885928793.0,14611840295809.0,251330807288.0,49011498003.0,259240334436.0,21871308864329.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,7.293.252.764,-,1.151.952.706,-,8.445.205.470,,7293252764.0,,1151952706.0,,8445205470.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,48.581.735.345,16.623.476.858,-,359.090.909,-,65.564.303.112,48581735345.0,16623476858.0,,359090909.0,,65564303112.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,-,-,-,2.097.300.000,-,2.097.300.000,,,,2097300000.0,,2097300000.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,-,,,,,,
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,(1.477.335.607),(3.795.711.027),(2.097.300.000),-,(5.682.036.655),(13.052.383.289),-1477335607.0,-3795711027.0,-2097300000.0,,-5682036655.0,-13052383289.0
Số dư cuối năm,"- Thanh lý, nhượng bán > Số dư cuối năm",Số dư cuối năm,6.746.990.328.531,14.631.961.314.404,249.233.507.288,52.619.841.618,253.558.297.781,21.934.363.289.622,6746990328531.0,14631961314404.0,249233507288.0,52619841618.0,253558297781.0,21934363289622.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,1.499.800.124.534,7.058.219.728.026,179.547.718.405,46.956.777.819,165.258.481.763,8.949.782.830.547,1499800124534.0,7058219728026.0,179547718405.0,46956777819.0,165258481763.0,8949782830547.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,358.113.452.297,933.454.593.527,23.512.510.168,2.075.509.086,31.968.243.409,1.349.124.308.487,358113452297.0,933454593527.0,23512510168.0,2075509086.0,31968243409.0,1349124308487.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,664.415.232,-,-,-,-,664.415.232,664415232.0,,,,,664415232.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,-,,,,,,
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,-,(1.075.361.881),-,-,-,(1.075.361.881),,-1075361881.0,,,,-1075361881.0
