row_label_raw,row_label_full,Ngày 31/12/2018 > Giá trị ghi số:,Dưới 1 năm > Ngày 31/12/2018 > Giá trị ghi số:,Từ 1 năm trở lên > Ngày 31/12/2018 > Giá trị ghi số:,Tổng cộng > Ngày 31/12/2018 > Giá trị ghi số:,numeric__Dưới 1 năm > Ngày 31/12/2018 > Giá trị ghi số:,numeric__Từ 1 năm trở lên > Ngày 31/12/2018 > Giá trị ghi số:,numeric__Tổng cộng > Ngày 31/12/2018 > Giá trị ghi số:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,300.087.599.256,-,300.087.599.256,300087599256.0,,300087599256.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,2.401.781.062.858,-,2.401.781.062.858,2401781062858.0,,2401781062858.0
Đầu tư,Đầu tư,Đầu tư,-,3.108.245.507.085,3.108.245.507.085,,3108245507085.0,3108245507085.0
Phải thu khác,Phải thu khác,Phải thu khác,547.468.349.562,965.552.378,548.433.901.940,547468349562.0,965552378.0,548433901940.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,,,
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(55.731.000),-,(55.731.000),-55731000.0,,-55731000.0
Dự phòng giảm giá các khoản đầu tư,Trừ: > Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,(960.754.862.318),(960.754.862.318),,-960754862318.0,-960754862318.0
Tổng cộng,Trừ: > Tổng cộng,Tổng cộng,3.249.281.280.676,2.148.456.197.145,5.397.737.477.821,3249281280676.0,2148456197145.0,5397737477821.0
Ngày 31/12/2018,Ngày 31/12/2018,Ngày 31/12/2018,Ngày 31/12/2018,Ngày 31/12/2018,Ngày 31/12/2018,,,
Các khoản vay và nợ,Ngày 31/12/2018 > Các khoản vay và nợ,Các khoản vay và nợ,1.932.889.334.586,8.551.698.159.016,10.484.587.493.602,1932889334586.0,8551698159016.0,10484587493602.0
Phải trả người bán,Ngày 31/12/2018 > Phải trả người bán,Phải trả người bán,884.581.369.352,399.805.189.215,1.284.386.558.567,884581369352.0,399805189215.0,1284386558567.0
"Phải trả, PN khác và chi phí phải trả","Ngày 31/12/2018 > Phải trả, PN khác và chi phí phải trả","Phải trả, PN khác và chi phí phải trả",771.384.513.583,-,771.384.513.583,771384513583.0,,771384513583.0
Tổng cộng,Ngày 31/12/2018 > Tổng cộng,Tổng cộng,3.588.855.217.521,8.951.503.348.231,12.540.358.565.752,3588855217521.0,8951503348231.0,12540358565752.0
Chênh lệch thanh khoản thuần,Ngày 31/12/2018 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(339.573.936.845),(6.803.047.151.086),(7.142.621.087.931),-339573936845.0,-6803047151086.0,-7142621087931.0
