row_label_raw,row_label_full,col_0,01/01/2018(VND),Số phải nộp trong năm,Số đã thực nộp trong năm,31/12/2018(VND),numeric__01/01/2018(VND),numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__31/12/2018(VND)
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,23.429.843.450,324.276.668.312,300.265.680.177,47.440.831.585,23429843450.0,324276668312.0,300265680177.0,47440831585.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,44.644.855.151,5.760.391.668,38.884.463.483,,44644855151.0,5760391668.0,38884463483.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,154.590.021,3.159.676.185,2.595.097.233,719.168.973,154590021.0,3159676185.0,2595097233.0,719168973.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,7.349.257.218,64.099.944.151,65.142.270.320,6.306.931.049,7349257218.0,64099944151.0,65142270320.0,6306931049.0
Thuế đất và tiền thuê đất,Phải nộp > Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,-,859.598.077,859.598.077,-,,859598077.0,859598077.0,
"Các khoản phí, lệ phí và các khoản phải nộp khác","Phải nộp > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",5.007.663.548,32.849.072.121,31.604.211.692,6.252.523.977,5007663548.0,32849072121.0,31604211692.0,6252523977.0
Cộng,Phải nộp > Cộng,Cộng,35.941.354.237,469.889.813.997,406.227.249.167,99.603.919.067,35941354237.0,469889813997.0,406227249167.0,99603919067.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,84.043.985,84.043.985,-,-,84043985.0,84043985.0,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,413.904.592,413.904.592,-,-,413904592.0,413904592.0,,
Thuế đất và tiền thuê đất,Phải thu > Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,461.992.255,1.325.241.518,863.249.263,-,461992255.0,1325241518.0,863249263.0,
Cộng,Phải thu > Cộng,Cộng,959.940.832,1.823.190.095,863.249.263,-,959940832.0,1823190095.0,863249263.0,
